Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,ASRock Incorporation,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,Apple,Time,Netgear Inc,Time,Belkin International Inc.,Time,D-Link International,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"Samsung Electro Mechanics co., LTD.",Time,DrayTek Corp.,Time,"NETGEAR INC.,",Time,Hewlett Packard,Time,Hewlett-Packard Company,Time,"Apple, Inc.",Time,IBM Corp,Time,Dell Inc,Time,NETGEAR,Time,ASUSTek COMPUTER INC.,Time,Routerboard.com,Time,Liteon Technology Corporation,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,"Apple, Inc",Time,Lexmark International Inc.,Time,D-LINK INTERNATIONAL PTE LIMITED
86,11,86,0,86,0,86,1,86,2,86,1,86,1,86,0,86,3,86,0,86,0,86,0,86,2,86,1,97,1,97,0,100,0,104,0,113,1,122,2,122,0,126,1,138,0,138,0,142,1,155,0,168,0,176,1,210,0,222,0,,,,
91,11,91,0,91,0,91,1,91,2,91,1,91,1,91,0,91,3,91,0,91,0,91,0,91,2,91,1,100,1,100,0,104,0,109,0,117,1,126,2,126,0,130,1,142,1,142,0,147,1,159,0,172,0,180,1,214,0,227,0,,,,
97,11,97,0,97,0,97,1,97,2,97,1,97,1,97,0,97,3,97,0,97,0,97,0,97,2,97,1,104,1,104,0,109,0,113,0,122,1,130,2,130,0,134,1,147,1,147,0,151,1,164,0,176,0,185,1,218,0,231,0,,,,
100,11,100,0,100,0,100,1,100,1,100,1,100,1,100,0,100,3,100,0,100,0,100,0,100,2,100,1,109,1,109,0,113,0,117,0,126,1,134,2,134,0,138,1,151,1,151,0,155,1,168,0,180,0,189,1,222,0,235,0,,,,
104,11,104,0,104,0,104,1,104,1,104,1,104,1,104,0,104,3,104,0,104,0,104,0,104,2,104,0,113,2,113,0,117,0,122,0,130,1,138,2,138,0,142,1,155,1,155,0,159,1,172,0,185,0,193,1,227,0,240,0,,,,
109,11,109,0,109,0,109,1,109,1,109,1,109,1,109,0,109,3,109,0,109,0,109,0,109,2,109,0,117,2,117,0,122,0,126,0,134,0,142,2,142,0,147,1,159,1,159,0,164,1,176,0,189,0,197,1,231,0,,,,,,
113,11,113,0,113,0,113,1,113,1,113,1,113,1,113,0,113,5,113,0,113,0,113,0,113,2,113,0,122,2,122,0,126,0,130,0,138,0,147,2,147,0,151,1,164,1,164,0,168,1,180,0,193,0,202,1,235,0,,,,,,
117,11,117,0,117,0,117,1,117,1,117,1,117,1,117,0,117,5,117,0,117,0,117,0,117,2,117,1,126,2,126,0,130,0,134,0,142,0,151,1,151,0,155,1,168,1,168,0,172,1,185,0,197,0,206,1,240,0,,,,,,
122,11,122,0,122,0,122,1,122,1,122,1,122,1,122,0,122,5,122,0,122,0,122,0,122,2,122,1,130,2,130,0,134,0,138,0,147,3,155,1,155,0,159,1,172,1,172,0,176,1,189,0,202,0,210,1,,,,,,,,
126,11,126,0,126,0,126,1,126,1,126,1,126,1,126,0,126,5,126,0,126,0,126,0,126,2,126,0,134,2,134,0,138,0,142,0,151,3,159,1,159,0,164,1,176,1,176,0,180,1,193,0,206,0,214,1,,,,,,,,
