Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,Enerpoint Ltd.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"Samsung Electro Mechanics co., LTD.",Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Netgear Inc.,Time,Intel Corporate,Time,DrayTek Corp.,Time,"Apple, Inc",Time,"NETGEAR INC.,",Time,"Samsung Electro Mechanics co.,LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Ubiquiti Networks,Time,Hewlett Packard,Time,IBM Corp,Time,Elitegroup Computer System Co.,Time,Liteon Tech Corp.,Time,HTC Corporation,Time,Hewlett-Packard Company,Time,"Billion Electric Co., Ltd.",Time,SEIKO EPSON CORPORATION,Time,"Murata Manufactuaring Co.,Ltd.",Time,Netgear Inc,Time,"Apple, Inc.",Time,Routerboard.com,Time,"SAMSUNG ELECTRO MECHANICS CO.,LTD.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Lexmark International Inc.,Time,ICP Electronics Inc.,Time,"Samsung Electronics Co.,Ltd"
291,9,291,0,291,1,291,1,291,2,291,0,291,2,291,2,291,0,291,1,291,4,291,2,291,2,296,1,296,1,299,2,299,3,321,1,325,1,325,0,329,1,333,1,342,0,372,0,405,0,410,0,465,0,507,0,561,0,668,0,697,0,890,0,1183,0,1216,0,1571,0,2064,0,2216,0,,
296,9,296,0,296,1,296,1,296,2,296,0,296,2,296,2,296,0,296,1,296,4,296,2,296,2,299,1,299,1,304,2,304,3,325,1,329,1,329,0,333,1,338,1,346,0,375,0,410,0,414,0,469,0,511,0,566,0,672,0,702,0,895,0,1187,0,1220,0,1576,0,2068,0,2220,0,,
299,9,299,0,299,1,299,1,299,2,299,0,299,2,299,2,299,0,299,1,299,4,299,2,299,2,304,1,304,1,308,2,308,3,329,1,333,1,333,0,338,1,342,1,350,0,380,0,414,0,418,0,473,0,515,0,570,0,676,0,706,0,899,0,1190,0,1225,0,1579,0,2073,0,2227,0,,
304,9,304,0,304,1,304,1,304,2,304,0,304,2,304,2,304,0,304,1,304,4,304,2,304,2,308,1,308,1,312,2,312,3,333,1,338,1,338,0,342,1,346,1,354,0,384,0,418,0,423,0,477,0,520,0,574,0,680,0,710,0,904,0,1195,0,1229,0,1583,0,2077,0,2229,0,,
308,9,308,0,308,1,308,1,308,2,308,0,308,2,308,2,308,0,308,1,308,4,308,2,308,2,312,1,312,1,317,2,317,3,338,1,342,1,342,0,346,1,350,1,358,0,388,0,423,0,426,0,482,0,524,0,579,1,684,0,714,0,908,0,1199,0,1233,0,1587,0,2082,0,2233,0,,
312,9,312,0,312,1,312,1,312,2,312,0,312,2,312,2,312,0,312,1,312,4,312,2,312,2,317,1,317,1,321,2,321,3,342,1,346,1,346,0,350,1,354,0,363,0,392,0,426,0,431,0,486,0,528,0,583,1,689,0,718,0,912,0,1204,0,1237,0,1592,0,2086,0,2238,0,,
317,9,317,0,317,1,317,1,317,2,317,0,317,2,317,2,317,0,317,1,317,4,317,2,317,2,321,1,321,1,325,2,325,3,346,1,350,1,350,0,354,1,358,0,367,0,396,0,431,0,435,0,489,0,532,0,587,1,693,0,722,0,916,0,1208,0,1241,0,1596,0,2090,0,2242,0,,
321,9,321,0,321,1,321,1,321,2,321,0,321,2,321,2,321,0,321,1,321,6,321,2,321,2,325,1,325,1,329,2,329,2,350,1,354,1,354,0,358,1,363,0,372,0,401,0,435,0,439,0,494,0,536,0,591,1,697,0,726,0,920,0,1212,0,1246,0,1600,0,2094,0,2247,0,,
325,9,325,0,325,1,325,1,325,2,325,0,325,2,325,2,325,0,325,1,325,6,325,2,325,2,329,1,329,1,333,2,333,2,354,1,358,1,358,0,363,1,367,0,375,0,405,0,439,0,444,0,499,0,541,0,595,1,702,0,731,0,925,0,1216,0,1249,0,1604,0,2098,0,2251,0,,
329,9,329,0,329,1,329,1,329,2,329,0,329,2,329,2,329,0,329,1,329,6,329,2,329,2,333,1,333,1,338,2,338,2,358,1,363,1,363,0,367,1,372,0,380,0,410,0,444,0,447,0,502,0,545,0,600,1,706,0,735,0,929,0,1220,0,1254,0,1609,0,2103,0,2254,0,,
333,9,333,0,333,1,333,1,333,2,333,0,333,1,333,2,333,1,333,1,333,5,333,2,333,1,338,1,338,1,342,2,342,2,363,1,367,1,367,0,372,1,375,0,384,0,414,0,447,0,452,0,507,0,549,0,604,1,710,0,739,0,933,0,1225,0,1259,0,1613,0,2107,0,2259,0,,
338,9,338,0,338,1,338,1,338,2,338,0,338,1,338,2,338,1,338,1,338,5,338,2,338,1,342,1,342,1,346,2,346,1,367,1,372,1,372,0,375,1,380,0,388,0,418,0,452,0,456,0,511,0,553,0,608,1,714,0,743,0,938,0,1229,0,1262,0,1618,0,2111,0,2264,0,,
342,9,342,0,342,1,342,1,342,2,342,0,342,1,342,2,342,1,342,1,342,5,342,2,342,1,346,1,346,1,350,2,350,1,372,1,375,1,375,0,380,1,384,0,392,0,423,0,456,0,460,0,515,0,557,0,612,1,718,0,748,0,942,0,1233,0,1266,0,1621,0,2115,0,2267,0,,
346,9,346,0,346,1,346,1,346,2,346,0,346,1,346,2,346,1,346,1,346,5,346,2,346,1,350,1,350,1,354,2,354,1,375,1,380,1,380,0,384,1,388,0,396,0,426,0,460,0,465,0,520,0,561,0,617,1,722,0,752,0,946,0,1237,0,1271,0,1626,0,2119,0,2271,0,,
350,9,350,0,350,1,350,1,350,2,350,0,350,1,350,2,350,1,350,1,350,5,350,2,350,1,354,1,354,1,358,2,358,1,380,1,384,1,384,0,388,1,392,0,401,0,431,0,465,0,469,0,524,0,566,0,621,1,726,0,756,0,951,0,1241,0,1275,0,1630,0,2123,0,2275,0,,
354,9,354,0,354,1,354,1,354,2,354,0,354,1,354,2,354,1,354,1,354,5,354,2,354,2,358,1,358,1,363,2,363,1,384,1,388,1,388,0,392,1,396,0,405,0,435,0,469,0,473,0,528,0,570,0,625,1,731,0,760,0,954,0,1246,0,1279,0,1635,0,2127,0,2280,0,,
358,9,358,0,358,1,358,1,358,2,358,0,358,1,358,2,358,1,358,1,358,6,358,2,358,2,363,1,363,1,367,2,367,1,388,1,392,1,392,0,396,1,401,0,410,0,439,0,473,0,477,0,532,0,574,0,630,1,735,0,764,0,959,0,1249,0,1283,0,1638,0,2131,1,2285,0,,
363,9,363,0,363,1,363,1,363,2,363,0,363,1,363,2,363,1,363,1,363,7,363,2,363,2,367,1,367,2,372,2,372,1,392,1,396,1,396,0,401,1,405,0,414,0,444,0,477,0,482,0,536,0,579,0,633,1,739,0,769,0,963,0,1254,0,1288,0,1643,0,2136,1,2289,0,,
367,9,367,0,367,1,367,1,367,2,367,0,367,1,367,2,367,1,367,1,367,7,367,2,367,2,372,1,372,2,375,2,375,2,396,1,401,1,401,0,405,1,410,0,418,0,447,0,482,0,486,0,541,0,583,0,638,1,743,0,773,0,967,0,1259,0,1292,0,1647,0,2140,1,2293,0,,
372,9,372,0,372,1,372,1,372,2,372,0,372,1,372,2,372,1,372,1,372,7,372,2,372,2,375,1,375,2,380,2,380,2,401,1,405,1,405,1,410,1,414,0,423,0,452,0,486,0,489,0,545,0,587,0,642,1,748,0,777,0,971,0,1262,0,1296,0,1651,0,2144,1,2297,0,,
375,9,375,0,375,1,375,1,375,2,375,0,375,1,375,2,375,1,375,1,375,7,375,2,375,2,380,1,380,2,384,2,384,2,405,1,410,1,410,1,414,1,418,0,426,0,456,0,489,0,494,0,549,0,591,0,646,1,752,0,781,0,976,0,1266,0,1300,0,1656,0,2148,1,2301,0,,
380,9,380,0,380,1,380,1,380,2,380,0,380,1,380,2,380,1,380,1,380,7,380,2,380,2,384,1,384,2,388,2,388,2,410,1,414,1,414,1,418,1,423,1,431,0,460,0,494,0,499,0,553,0,595,0,651,1,756,0,786,0,980,0,1271,0,1305,0,1659,0,2153,1,2305,0,,
384,9,384,0,384,1,384,1,384,2,384,0,384,1,384,2,384,1,384,1,384,7,384,2,384,2,388,1,388,2,392,2,392,2,414,1,418,1,418,1,423,1,426,1,435,0,465,0,499,0,502,0,557,0,600,0,655,1,760,0,790,0,984,0,1275,0,1308,0,1664,0,2157,1,2309,0,,
388,9,388,0,388,1,388,1,388,1,388,0,388,1,388,2,388,1,388,1,388,7,388,2,388,2,392,1,392,2,396,2,396,2,418,1,423,1,423,1,426,0,431,1,439,0,469,0,502,0,507,0,561,0,604,0,659,1,764,0,794,0,988,0,1279,0,1313,0,1668,0,2161,1,2314,0,,
392,9,392,0,392,1,392,1,392,2,392,0,392,1,392,2,392,1,392,1,392,7,392,2,392,2,396,1,396,2,401,2,401,2,423,1,426,1,426,1,431,1,435,1,444,0,473,0,507,0,511,0,566,0,608,0,663,1,769,0,798,0,992,0,1283,0,1317,0,1673,0,2165,1,2318,0,,
396,9,396,0,396,1,396,1,396,2,396,0,396,1,396,2,396,1,396,1,396,7,396,2,396,2,401,1,401,2,405,2,405,2,426,1,431,1,431,1,435,1,439,1,447,1,477,0,511,0,515,0,570,0,612,0,668,1,773,0,803,0,997,0,1288,0,1321,0,1676,0,2169,1,2322,0,,
401,9,401,0,401,1,401,1,401,2,401,0,401,1,401,2,401,1,401,1,401,7,401,2,401,2,405,1,405,2,410,2,410,2,431,1,435,1,435,1,439,1,444,1,452,1,482,0,515,0,520,0,574,0,617,0,672,1,777,0,806,0,1000,0,1292,0,1325,0,1681,0,2174,1,2326,0,,
405,9,405,0,405,1,405,1,405,2,405,0,405,1,405,2,405,1,405,1,405,8,405,2,405,2,410,1,410,2,414,2,414,2,435,1,439,1,439,1,444,1,447,1,456,1,486,0,520,0,524,0,579,0,621,0,676,1,781,0,810,0,1005,0,1296,0,1330,0,1685,0,2178,1,2330,0,,
410,9,410,0,410,1,410,1,410,2,410,0,410,1,410,2,410,1,410,1,410,8,410,2,410,2,414,1,414,2,418,2,418,1,439,1,444,1,444,1,447,1,452,1,460,1,489,0,524,0,528,0,583,0,625,0,680,1,786,0,815,0,1009,0,1300,0,1335,0,1689,0,2182,1,2334,0,,
414,9,414,0,414,1,414,1,414,2,414,0,414,1,414,3,414,1,414,1,414,8,414,2,414,2,418,1,418,2,423,2,423,1,444,1,447,1,447,1,452,1,456,1,465,1,494,0,528,0,532,0,587,0,630,0,684,1,790,0,819,0,1013,0,1305,0,1338,0,1693,0,2187,1,2339,0,,
418,11,418,1,418,1,418,1,418,2,418,0,418,1,418,3,418,1,418,1,418,7,418,2,418,2,423,1,423,2,426,2,426,1,447,1,452,1,452,1,456,1,460,1,469,1,499,0,532,0,536,0,591,0,633,0,689,1,794,0,823,0,1018,0,1308,0,1342,0,1697,0,2191,1,2344,0,,
423,11,423,1,423,1,423,1,423,2,423,0,423,1,423,3,423,1,423,1,423,4,423,2,423,2,426,1,426,2,431,2,431,2,452,1,456,1,456,1,460,1,465,1,473,1,502,0,536,0,541,0,595,0,638,0,693,1,798,1,828,0,1022,0,1313,0,1347,0,1702,0,2196,0,2348,0,,
426,11,426,1,426,1,426,1,426,2,426,0,426,1,426,3,426,1,426,1,426,4,426,2,426,2,431,1,431,2,435,2,435,2,456,1,460,1,460,1,465,1,469,1,477,1,507,0,541,0,545,0,600,0,642,0,697,0,803,1,831,0,1026,0,1317,0,1351,0,1706,0,2199,0,2352,0,,
431,11,431,1,431,1,431,1,431,2,431,0,431,1,431,3,431,1,431,1,431,4,431,2,431,2,435,1,435,2,439,2,439,1,460,1,465,1,465,1,469,1,473,1,482,1,511,0,545,0,549,0,604,0,646,0,702,0,806,1,835,0,1031,0,1321,0,1355,0,1711,0,2204,0,2356,0,,
435,11,435,1,435,1,435,1,435,2,435,0,435,1,435,3,435,1,435,1,435,4,435,2,435,2,439,1,439,2,444,2,444,1,465,1,469,1,469,0,473,1,477,1,486,1,515,0,549,0,553,0,608,0,651,0,706,0,810,1,840,0,1034,0,1325,0,1359,0,1714,0,2208,0,2360,0,,
439,11,439,1,439,1,439,1,439,2,439,0,439,1,439,3,439,1,439,1,439,3,439,2,439,1,444,1,444,2,447,2,447,1,469,1,473,1,473,0,477,1,482,1,489,1,520,0,553,0,557,0,612,0,655,0,710,0,815,1,844,0,1038,0,1330,0,1364,0,1719,0,2212,0,2364,0,,
444,11,444,1,444,1,444,1,444,2,444,0,444,1,444,3,444,1,444,1,444,3,444,2,444,1,447,1,447,1,452,2,452,1,473,1,477,1,477,0,482,1,486,1,494,1,524,0,557,0,561,0,617,0,659,0,714,0,819,1,848,0,1043,0,1335,0,1367,0,1723,0,2216,0,2368,0,,
447,11,447,1,447,1,447,1,447,2,447,0,447,1,447,3,447,0,447,1,447,3,447,2,447,1,452,1,452,1,456,2,456,1,477,1,482,1,482,0,486,1,489,1,499,1,528,0,561,0,566,0,621,0,663,0,718,0,823,1,853,0,1047,0,1338,0,1372,0,1727,0,2220,0,2373,0,,
452,11,452,1,452,1,452,1,452,2,452,0,452,1,452,3,452,1,452,1,452,3,452,2,452,1,456,1,456,1,460,2,460,1,482,1,486,1,486,0,489,1,494,1,502,1,532,0,566,0,570,0,625,0,668,0,722,0,828,1,857,0,1051,0,1342,0,1376,0,1731,0,2227,0,2378,0,,
456,11,456,1,456,1,456,1,456,2,456,0,456,1,456,3,456,1,456,1,456,3,456,2,456,1,460,1,460,1,465,2,465,1,486,1,489,1,489,0,494,0,499,1,507,1,536,0,570,0,574,0,630,0,672,0,726,0,831,1,861,0,1055,0,1347,0,1381,0,1736,0,2229,0,2381,0,,
460,11,460,1,460,1,460,1,460,2,460,0,460,1,460,3,460,1,460,1,460,3,460,2,460,1,465,1,465,1,469,2,469,1,489,1,494,1,494,0,499,0,502,1,511,0,541,0,574,0,579,0,633,0,676,0,731,0,835,1,865,0,1059,0,1351,0,1385,0,1740,0,2233,0,2386,0,,
465,11,465,1,465,1,465,1,465,2,465,0,465,1,465,3,465,1,465,1,465,2,465,2,465,1,469,1,469,1,473,2,473,1,494,1,499,1,499,1,502,0,507,1,515,0,545,0,579,0,583,0,638,0,680,0,735,0,840,1,870,0,1064,0,1355,0,1389,0,1744,0,2238,0,2390,0,,
469,11,469,1,469,1,469,1,469,2,469,0,469,1,469,3,469,1,469,1,469,2,469,2,469,1,473,1,473,1,477,2,477,1,499,1,502,1,502,1,507,0,511,1,520,0,549,0,583,0,587,0,642,0,684,0,739,0,844,1,874,0,1068,0,1359,0,1393,0,1749,0,2242,0,2394,0,,
473,11,473,1,473,1,473,1,473,2,473,0,473,1,473,3,473,1,473,1,473,2,473,2,473,1,477,1,477,1,482,2,482,1,502,1,507,1,507,1,511,0,515,1,524,0,553,0,587,0,591,0,646,0,689,0,743,0,848,1,878,0,1073,0,1364,0,1397,0,1752,0,2247,0,2398,0,,
477,11,477,1,477,1,477,1,477,2,477,0,477,1,477,2,477,1,477,1,477,2,477,2,477,1,482,1,482,1,486,2,486,1,507,1,511,1,511,1,515,0,520,1,528,0,557,0,591,0,595,0,651,0,693,0,748,0,853,1,883,0,1077,0,1367,0,1401,0,1757,0,2251,0,2402,0,,
482,11,482,0,482,1,482,1,482,2,482,0,482,1,482,2,482,1,482,1,482,2,482,2,482,1,486,1,486,1,489,2,489,1,511,1,515,1,515,1,520,0,524,1,532,0,561,0,595,1,600,0,655,0,697,0,752,0,857,1,887,0,1081,0,1372,0,1406,0,1761,0,2254,0,2407,0,,
486,11,486,0,486,1,486,1,486,2,486,0,486,1,486,2,486,1,486,1,486,2,486,2,486,1,489,1,489,1,494,2,494,1,515,1,520,1,520,1,524,0,528,1,536,0,566,0,600,1,604,0,659,0,702,0,756,0,861,0,890,0,1085,0,1376,0,1410,0,1765,0,2259,0,2411,0,,
489,11,489,0,489,1,489,1,489,2,489,0,489,1,489,2,489,2,489,1,489,3,489,2,489,1,494,1,494,1,499,2,499,1,520,1,524,1,524,1,528,0,532,0,541,0,570,0,604,1,608,0,663,0,706,0,760,1,865,0,895,0,1090,0,1381,0,1414,0,1769,0,2264,0,2415,0,,
494,11,494,0,494,1,494,1,494,2,494,0,494,1,494,3,494,2,494,1,494,3,494,2,494,1,499,1,499,1,502,2,502,1,524,1,528,1,528,1,532,0,536,0,545,0,574,0,608,1,612,0,668,0,710,0,764,1,870,0,899,0,1094,0,1385,0,1419,0,1774,0,2267,0,2420,0,,
499,11,499,0,499,1,499,1,499,2,499,0,499,1,499,3,499,2,499,1,499,3,499,2,499,1,502,1,502,1,507,2,507,1,528,1,532,1,532,1,536,0,541,0,549,0,579,0,612,1,617,0,672,0,714,0,769,1,874,0,904,0,1097,0,1389,0,1422,0,1777,0,2271,0,2423,0,,
502,11,502,0,502,1,502,1,502,2,502,0,502,1,502,3,502,2,502,1,502,3,502,2,502,1,507,1,507,1,511,2,511,1,532,1,536,1,536,1,541,0,545,0,553,0,583,0,617,1,621,0,676,0,718,0,773,1,878,0,908,0,1102,0,1393,0,1427,0,1782,0,2275,0,2428,0,,
507,11,507,0,507,1,507,1,507,2,507,1,507,1,507,3,507,2,507,1,507,3,507,2,507,1,511,0,511,1,515,2,515,1,536,1,541,1,541,1,545,0,549,0,557,0,587,0,621,1,625,0,680,0,722,0,777,1,883,0,912,0,1107,0,1397,0,1431,0,1786,0,2280,0,2432,0,,
511,11,511,0,511,1,511,1,511,2,511,1,511,1,511,3,511,2,511,1,511,3,511,2,511,1,515,0,515,1,520,2,520,1,541,1,545,1,545,1,549,0,553,0,561,0,591,0,625,1,630,0,684,0,726,0,781,1,887,0,916,0,1111,0,1401,0,1435,0,1791,0,2285,0,2436,0,,
515,11,515,0,515,1,515,1,515,2,515,1,515,1,515,3,515,1,515,1,515,3,515,2,515,1,520,0,520,1,524,2,524,1,545,1,549,1,549,1,553,0,557,0,566,0,595,0,630,1,633,0,689,0,731,0,786,1,890,0,920,0,1115,0,1406,0,1440,0,1794,0,2289,0,2440,0,,
520,11,520,1,520,1,520,1,520,2,520,1,520,1,520,3,520,1,520,1,520,4,520,2,520,1,524,0,524,1,528,2,528,1,549,1,553,1,553,1,557,0,561,0,570,0,600,0,633,1,638,0,693,0,735,0,790,1,895,0,925,0,1119,0,1410,0,1444,0,1799,0,2293,0,2445,0,,
524,11,524,1,524,1,524,1,524,2,524,1,524,1,524,3,524,1,524,1,524,5,524,1,524,1,528,0,528,1,532,2,532,1,553,1,557,1,557,1,561,0,566,0,574,1,604,0,638,1,642,0,697,0,739,0,794,1,899,0,929,0,1124,0,1414,0,1448,0,1803,0,2297,0,2449,0,,
528,11,528,1,528,1,528,1,528,2,528,1,528,1,528,3,528,1,528,1,528,5,528,1,528,1,532,0,532,1,536,2,536,0,557,1,561,1,561,1,566,0,570,0,579,1,608,0,642,1,646,0,702,0,743,0,798,1,904,0,933,0,1128,0,1419,0,1453,0,1807,0,2301,0,2453,0,,
532,11,532,1,532,1,532,1,532,2,532,1,532,1,532,3,532,1,532,1,532,5,532,1,532,1,536,0,536,1,541,2,541,0,561,1,566,1,566,0,570,0,574,0,583,1,612,0,646,1,651,0,706,0,748,0,803,1,908,0,938,0,1131,0,1422,0,1457,0,1811,0,2305,0,,,,
536,11,536,1,536,1,536,1,536,2,536,1,536,1,536,3,536,1,536,1,536,6,536,1,536,1,541,0,541,1,545,2,545,0,566,1,570,1,570,0,574,0,579,0,587,1,617,0,651,1,655,0,710,0,752,0,806,1,912,0,942,0,1136,0,1427,0,1461,0,1815,0,2309,0,,,,
541,11,541,1,541,1,541,1,541,2,541,1,541,1,541,4,541,1,541,1,541,6,541,1,541,1,545,0,545,1,549,2,549,0,570,1,574,1,574,0,579,0,583,0,591,1,621,0,655,1,659,0,714,0,756,0,810,1,916,0,946,0,1140,0,1431,0,1465,0,1820,0,2314,0,,,,
545,11,545,1,545,1,545,1,545,2,545,1,545,1,545,4,545,1,545,1,545,6,545,1,545,1,549,0,549,1,553,2,553,1,574,1,579,1,579,0,583,0,587,0,595,1,625,0,659,0,663,0,718,0,760,0,815,1,920,0,951,0,1145,0,1435,0,1470,0,1824,0,2318,0,,,,
549,11,549,1,549,1,549,1,549,2,549,1,549,1,549,4,549,1,549,1,549,6,549,1,549,1,553,0,553,1,557,2,557,1,579,1,583,1,583,0,587,0,591,0,600,2,630,0,663,0,668,0,722,0,764,0,819,1,925,0,954,0,1149,0,1440,0,1474,0,1828,0,2322,0,,,,
553,11,553,1,553,1,553,1,553,3,553,1,553,1,553,4,553,0,553,1,553,4,553,1,553,1,557,0,557,1,561,2,561,1,583,1,587,1,587,0,591,0,595,0,604,2,633,0,668,0,672,0,726,0,769,0,823,0,929,1,959,0,1153,0,1444,0,1478,0,1832,0,2326,0,,,,
557,11,557,1,557,1,557,1,557,3,557,1,557,1,557,4,557,0,557,1,557,4,557,1,557,1,561,0,561,1,566,2,566,2,587,1,591,1,591,1,595,0,600,0,608,2,638,0,672,0,676,0,731,0,773,0,828,0,933,1,963,0,1157,0,1448,0,1483,0,1837,0,2330,0,,,,
561,11,561,1,561,1,561,1,561,3,561,1,561,1,561,4,561,0,561,1,561,4,561,2,561,1,566,0,566,1,570,2,570,2,591,1,595,1,595,1,600,0,604,0,612,2,642,0,676,0,680,0,735,0,777,0,831,0,938,1,967,0,1162,0,1453,0,1486,0,1841,0,2334,0,,,,
566,11,566,1,566,1,566,1,566,3,566,1,566,1,566,4,566,0,566,1,566,4,566,2,566,1,570,0,570,1,574,2,574,2,595,1,600,1,600,1,604,0,608,0,617,2,646,0,680,0,684,0,739,0,781,0,835,0,942,1,971,0,1165,0,1457,0,1491,0,1845,0,2339,0,,,,
570,11,570,1,570,1,570,1,570,3,570,1,570,1,570,4,570,0,570,1,570,4,570,2,570,1,574,0,574,1,579,2,579,2,600,1,604,1,604,1,608,0,612,0,621,2,651,0,684,0,689,0,743,0,786,0,840,0,946,1,976,0,1169,0,1461,0,1495,0,1849,0,2344,0,,,,
574,11,574,1,574,1,574,1,574,3,574,1,574,1,574,4,574,0,574,1,574,5,574,2,574,1,579,0,579,1,583,2,583,2,604,1,608,1,608,1,612,0,617,0,625,2,655,0,689,0,693,0,748,0,790,0,844,0,951,1,980,0,1174,0,1465,0,1499,0,1853,0,2348,0,,,,
579,11,579,1,579,1,579,1,579,3,579,1,579,1,579,4,579,0,579,1,579,5,579,2,579,1,583,0,583,1,587,2,587,2,608,1,612,1,612,1,617,0,621,1,630,2,659,0,693,0,697,0,752,0,794,0,848,0,954,1,984,0,1178,0,1470,0,1504,0,1857,0,2352,0,,,,
583,11,583,1,583,1,583,1,583,3,583,1,583,1,583,4,583,0,583,1,583,4,583,2,583,1,587,0,587,1,591,2,591,2,612,1,617,1,617,1,621,0,625,1,633,2,663,0,697,0,702,0,756,0,798,0,853,0,959,1,988,0,1183,0,1474,0,1507,0,1862,0,2356,0,,,,
587,11,587,1,587,0,587,1,587,3,587,1,587,1,587,4,587,0,587,1,587,3,587,2,587,1,591,0,591,0,595,2,595,2,617,1,621,0,621,1,625,0,630,1,638,1,668,0,702,0,706,0,760,0,803,0,857,0,963,1,992,0,1187,0,1478,0,1512,0,1866,0,2360,0,,,,
591,11,591,1,591,0,591,1,591,3,591,1,591,1,591,4,591,0,591,1,591,3,591,2,591,1,595,0,595,0,600,2,600,2,621,1,625,1,625,1,630,0,633,1,642,1,672,0,706,0,710,0,764,0,806,0,861,0,967,1,997,0,1190,0,1483,0,1516,0,1870,0,2364,0,,,,
595,11,595,1,595,0,595,1,595,3,595,1,595,1,595,4,595,0,595,1,595,3,595,2,595,1,600,0,600,0,604,2,604,2,625,1,630,1,630,1,633,0,638,1,646,1,676,0,710,0,714,0,769,0,810,0,865,0,971,1,1000,0,1195,0,1486,0,1521,0,1875,0,2368,0,,,,
600,11,600,1,600,0,600,1,600,3,600,1,600,1,600,3,600,0,600,1,600,2,600,2,600,1,604,0,604,0,608,2,608,2,630,1,633,1,633,1,638,0,642,1,651,1,680,0,714,0,718,0,773,0,815,0,870,0,976,1,1005,0,1199,0,1491,0,1525,0,1878,0,2373,0,,,,
604,11,604,1,604,0,604,1,604,3,604,1,604,1,604,2,604,0,604,1,604,2,604,2,604,1,608,0,608,0,612,2,612,1,633,1,638,1,638,1,642,0,646,1,655,1,684,0,718,0,722,0,777,0,819,0,874,0,980,1,1009,0,1204,0,1495,1,1528,0,1883,0,2378,1,,,,
608,11,608,0,608,0,608,1,608,3,608,1,608,1,608,2,608,0,608,1,608,3,608,2,608,1,612,0,612,0,617,2,617,1,638,1,642,1,642,1,646,0,651,1,659,1,689,0,722,0,726,0,781,0,823,0,878,0,984,1,1013,0,1208,0,1499,1,1533,0,1887,0,2381,1,,,,
612,11,612,0,612,0,612,1,612,2,612,1,612,1,612,2,612,0,612,1,612,3,612,2,612,1,617,0,617,0,621,2,621,1,642,1,646,1,646,1,651,0,655,1,663,1,693,0,726,0,731,0,786,0,828,0,883,1,988,1,1018,0,1212,0,1504,1,1537,0,1891,0,2386,1,,,,
617,11,617,0,617,1,617,1,617,2,617,1,617,1,617,2,617,0,617,1,617,3,617,2,617,1,621,0,621,0,625,2,625,1,646,1,651,1,651,1,655,0,659,1,668,1,697,0,731,0,735,0,790,0,831,0,887,1,992,0,1022,0,1216,0,1507,1,1542,0,1895,0,2390,1,,,,
621,11,621,0,621,1,621,1,621,2,621,0,621,1,621,2,621,0,621,1,621,3,621,2,621,1,625,0,625,0,630,2,630,0,651,1,655,1,655,1,659,0,663,1,672,1,702,0,735,0,739,0,794,0,835,0,890,1,997,0,1026,0,1220,0,1512,1,1545,0,1900,0,2394,1,,,,
625,11,625,0,625,1,625,1,625,2,625,0,625,1,625,1,625,0,625,1,625,3,625,2,625,1,630,0,630,1,633,2,633,0,655,1,659,1,659,0,663,0,668,1,676,1,706,0,739,0,743,0,798,0,840,0,895,1,1000,0,1031,0,1225,0,1516,1,1549,0,1904,0,2398,1,,,,
630,11,630,0,630,1,630,1,630,2,630,0,630,1,630,1,630,0,630,1,630,3,630,2,630,1,633,0,633,1,638,2,638,0,659,1,663,1,663,0,668,0,672,1,680,1,710,0,743,0,748,0,803,0,844,0,899,1,1005,0,1034,0,1229,0,1521,1,1554,0,1908,0,2402,1,,,,
633,11,633,0,633,1,633,1,633,2,633,0,633,1,633,1,633,0,633,1,633,3,633,2,633,1,638,0,638,1,642,2,642,1,663,1,668,1,668,0,672,0,676,1,684,0,714,0,748,0,752,0,806,0,848,0,904,1,1009,0,1038,0,1233,0,1525,1,1558,0,1913,0,2407,1,,,,
638,11,638,0,638,1,638,1,638,2,638,0,638,1,638,2,638,1,638,1,638,4,638,2,638,1,642,0,642,1,646,2,646,1,668,1,672,1,672,0,676,0,680,1,689,0,718,0,752,0,756,0,810,0,853,0,908,1,1013,0,1043,0,1237,0,1528,1,1562,0,1917,0,2411,1,,,,
642,11,642,0,642,1,642,1,642,2,642,0,642,1,642,2,642,1,642,1,642,4,642,2,642,1,646,0,646,1,651,2,651,1,672,1,676,1,676,0,680,0,684,1,693,0,722,0,756,0,760,0,815,0,857,0,912,1,1018,0,1047,0,1241,0,1533,1,1567,0,1921,0,2415,1,,,,
646,11,646,0,646,1,646,1,646,3,646,0,646,1,646,2,646,1,646,1,646,4,646,2,646,1,651,0,651,1,655,2,655,1,676,1,680,1,680,0,684,0,689,1,697,0,726,0,760,0,764,0,819,0,861,0,916,1,1022,0,1051,0,1246,0,1537,1,1571,0,1925,0,2420,1,,,,
651,11,651,0,651,1,651,1,651,3,651,0,651,1,651,2,651,1,651,1,651,4,651,2,651,1,655,0,655,1,659,2,659,1,680,1,684,1,684,1,689,0,693,1,702,0,731,0,764,0,769,0,823,0,865,0,920,1,1026,0,1055,0,1249,0,1542,1,1576,0,1930,0,2423,1,,,,
