Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,Apple,Time,NETGEAR,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Netgear Inc.,Time,Intel Corporate,Time,Ubiquiti Networks,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Belkin International Inc.,Time,"Samsung Electronics Co., LTD",Time,Hewlett-Packard Company,Time,"Samsung Electro Mechanics co., LTD.",Time,Lexmark International Inc.,Time,Liteon Tech Corp.,Time,Wistron Corporation,Time,"Samsung Electro Mechanics co.,LTD.",Time,"Apple, Inc",Time,IBM,Time,HTC Corporation,Time,"Micro-Star Int'l Co, Ltd",Time,WISOL,Time,SEIKO EPSON CORPORATION,Time,zte corporation
,,226,1,226,1,226,2,226,1,226,4,226,2,226,2,226,2,226,1,236,0,236,1,255,0,255,0,255,1,255,0,255,0,264,0,275,0,275,0,284,0,294,3,302,2,,,,,,,,,,,,
,,236,1,236,1,236,2,236,1,236,4,236,2,236,2,236,2,236,1,246,0,246,1,264,0,264,0,264,1,264,0,264,0,275,0,284,0,284,0,294,0,302,3,313,1,,,,,,,,,,,,
,,246,1,246,1,246,2,246,1,246,3,246,1,246,2,246,2,246,1,255,0,255,1,275,0,275,0,275,1,275,0,275,0,284,0,294,0,294,0,302,0,313,3,,,,,,,,,,,,,,
,,255,1,255,1,255,2,255,1,255,3,255,2,255,2,255,2,255,1,264,0,264,1,284,0,284,0,284,1,284,0,284,0,294,0,302,0,302,0,313,0,,,,,,,,,,,,,,,,
,,264,1,264,1,264,1,264,1,264,3,264,2,264,2,264,2,264,1,275,0,275,1,294,0,294,0,294,1,294,0,294,0,302,0,313,0,313,0,,,,,,,,,,,,,,,,,,
,,275,1,275,1,275,1,275,1,275,3,275,2,275,2,275,2,275,1,284,0,284,1,302,0,302,0,302,1,302,0,302,0,313,0,,,,,,,,,,,,,,,,,,,,,,
,,284,1,284,1,284,1,284,1,284,3,284,3,284,2,284,2,284,1,294,1,294,2,313,0,313,0,313,1,313,0,313,0,,,,,,,,,,,,,,,,,,,,,,,,
,,294,1,294,1,294,1,294,1,294,3,294,3,294,2,294,2,294,1,302,1,302,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,302,1,302,1,302,1,302,1,302,2,302,3,302,2,302,2,302,1,313,1,313,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,313,1,313,1,313,1,313,1,313,2,313,3,313,2,313,2,313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
