Time,Manual_Count,Time,DrayTek Corp.,Time,NETCOMM LIMITED,Time,ICP Electronics Inc.,Time,Ubiquiti Networks,Time,UNKNOWN,Time,Hewlett-Packard Company,Time,Apple,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"Samsung Electro Mechanics co., LTD.",Time,"NETGEAR INC.,",Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,Routerboard.com,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,IBM Corp,Time,D-Link International,Time,"CISCO SYSTEMS, INC.",Time,"Samsung Electro Mechanics co.,LTD.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett Packard,Time,"Murata Manufactuaring Co.,Ltd.",Time,"Apple, Inc",Time,Belkin International Inc.,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Lexmark International Inc.,Time,IBM,Time,SEIKO EPSON CORPORATION,Time,Microsoft Corporation,Time,Dell Inc,Time,Sony Mobile Communications AB,Time,"Apple, Inc.",Time,Apple Inc,Time,Microsoft,Time,SAMSUNG ELECTRO-MECHANICS,Time,Liteon Technology Corporation,Time,"Shenzhen Xin KingBrand enterprises Co.,Ltd",Time,"Samsung Electronics ITS, Printer division",Time,Wistron Corporation,Time,"TP-LINK TECHNOLOGIES CO., LTD.",Time,"Azurewave Technologies., inc.",Time,Askey Computer Corp,Time,Zebra Technologies Inc,Time,HTC Corporation,Time,"Samsung Electronics Co., LTD"
235,10,235,0,235,2,235,0,235,1,235,2,235,2,235,0,235,1,235,1,235,1,235,0,235,2,240,0,240,0,240,1,240,0,244,0,244,1,244,2,248,0,248,1,257,0,270,0,283,0,283,0,287,0,296,0,308,0,317,0,325,0,330,0,351,0,386,0,420,0,437,0,441,0,458,0,462,0,570,0,635,0,639,0,674,0,811,0,878,0,899,0,,,,,,
240,10,240,0,240,2,240,0,240,1,240,1,240,1,240,1,240,2,240,1,240,1,240,0,240,2,244,0,244,0,244,1,244,0,248,0,248,1,248,1,252,0,252,1,262,0,274,0,287,0,287,0,291,0,300,0,313,0,321,0,330,0,334,0,355,0,390,0,424,0,441,0,446,0,462,0,467,0,574,0,639,0,644,0,678,0,817,0,882,0,,,,,,,,
244,9,244,0,244,2,244,0,244,0,244,1,244,1,244,1,244,1,244,1,244,3,244,1,244,2,248,0,248,0,248,1,248,1,252,0,252,1,252,1,257,1,257,1,265,0,278,0,291,0,291,0,296,0,304,0,317,0,325,0,334,0,338,0,359,0,395,0,428,0,446,0,450,0,467,0,471,0,579,0,644,0,649,0,682,0,821,0,886,0,,,,,,,,
248,9,248,0,248,2,248,0,248,1,248,3,248,1,248,0,248,1,248,1,248,3,248,2,248,2,252,0,252,1,252,1,252,1,257,0,257,1,257,1,262,1,262,0,270,0,283,0,296,0,296,0,300,0,308,0,321,0,330,0,338,0,343,0,364,0,399,0,433,0,450,0,455,0,471,0,476,0,583,0,649,0,652,0,687,0,824,0,890,0,,,,,,,,
252,9,252,0,252,2,252,0,252,1,252,3,252,1,252,2,252,0,252,1,252,1,252,1,252,2,257,0,257,1,257,1,257,1,262,0,262,1,262,1,265,0,265,1,274,0,287,0,300,0,300,0,304,0,313,0,325,0,334,0,343,0,347,0,369,0,403,0,437,0,455,0,458,0,476,0,480,0,587,0,652,0,656,0,691,0,829,0,895,0,,,,,,,,
257,9,257,0,257,1,257,0,257,1,257,2,257,0,257,3,257,1,257,1,257,3,257,0,257,2,262,0,262,0,262,1,262,2,265,0,265,1,265,1,270,0,270,1,278,0,291,0,304,0,304,0,308,0,317,0,330,0,338,0,347,0,351,0,373,0,407,0,441,0,458,0,462,0,480,0,484,0,591,0,656,0,661,0,696,0,833,0,899,0,,,,,,,,
262,9,262,0,262,1,262,0,262,1,262,1,262,1,262,3,262,3,262,1,262,3,262,0,262,1,265,0,265,1,265,1,265,1,270,0,270,1,270,1,274,0,274,1,283,0,296,0,308,0,308,0,313,0,321,0,334,0,343,0,351,0,355,0,377,0,412,0,446,0,462,0,467,0,484,0,489,0,596,0,661,0,666,0,700,0,837,0,,,,,,,,,,
265,9,265,0,265,1,265,0,265,0,265,1,265,2,265,5,265,2,265,1,265,2,265,0,265,1,270,0,270,1,270,1,270,2,274,0,274,1,274,1,278,1,278,1,287,0,300,0,313,0,313,0,317,0,325,0,338,0,347,0,355,0,359,0,381,0,416,0,450,0,467,0,471,0,489,0,493,0,601,0,666,0,670,0,705,0,842,0,,,,,,,,,,
270,9,270,0,270,0,270,0,270,0,270,1,270,1,270,5,270,1,270,1,270,3,270,0,270,2,274,0,274,1,274,1,274,2,278,0,278,1,278,1,283,1,283,1,291,0,304,0,317,0,317,0,321,0,330,0,343,0,351,0,359,0,364,0,386,0,420,0,455,0,471,0,476,0,493,0,498,0,605,0,670,0,674,0,709,0,846,0,,,,,,,,,,
274,9,274,0,274,1,274,0,274,0,274,2,274,0,274,3,274,2,274,1,274,3,274,0,274,2,278,0,278,1,278,1,278,0,283,0,283,1,283,1,287,0,287,0,296,0,308,0,321,0,321,0,325,0,334,1,347,0,355,0,364,0,369,0,390,0,424,0,458,0,476,0,480,0,498,0,502,0,609,0,674,0,678,0,713,0,850,0,,,,,,,,,,
278,9,278,0,278,1,278,0,278,1,278,2,278,0,278,4,278,1,278,1,278,4,278,1,278,0,283,0,283,1,283,1,283,0,287,1,287,1,287,1,291,0,291,0,300,0,313,0,325,0,325,0,330,0,338,1,351,0,359,0,369,0,373,0,395,0,428,0,462,0,480,0,484,0,502,0,506,0,613,0,678,0,682,0,717,0,855,0,,,,,,,,,,
283,9,283,0,283,1,283,0,283,1,283,2,283,0,283,4,283,1,283,1,283,4,283,1,283,0,287,0,287,0,287,1,287,0,291,1,291,1,291,1,296,0,296,1,304,0,317,0,330,1,330,0,334,0,343,0,355,0,364,0,373,0,377,0,399,0,433,0,467,0,484,0,489,0,506,0,510,0,617,0,682,0,687,0,722,0,859,0,,,,,,,,,,
287,9,287,0,287,0,287,0,287,0,287,2,287,0,287,0,287,0,287,1,287,1,287,0,287,2,291,0,291,0,291,1,291,0,296,0,296,1,296,1,300,0,300,1,308,0,321,0,334,1,334,0,338,0,347,1,359,0,369,0,377,0,381,0,403,0,437,0,471,0,489,0,493,0,510,0,514,0,622,0,687,0,691,0,726,0,863,0,,,,,,,,,,
291,9,291,0,291,1,291,0,291,0,291,2,291,0,291,1,291,0,291,1,291,2,291,0,291,2,296,0,296,0,296,0,296,0,300,0,300,1,300,1,304,0,304,1,313,1,325,0,338,0,338,0,343,0,351,1,364,0,373,0,381,0,386,0,407,0,441,0,476,0,493,0,498,0,514,0,519,0,626,1,691,0,696,0,730,0,872,0,,,,,,,,,,
296,9,296,0,296,1,296,0,296,0,296,2,296,0,296,1,296,0,296,1,296,2,296,0,296,2,300,0,300,0,300,0,300,0,304,0,304,1,304,1,308,0,308,1,317,1,330,0,343,0,343,0,347,0,355,0,369,0,377,0,386,0,390,0,412,1,446,0,480,0,498,0,502,0,519,0,523,0,631,1,696,0,700,0,734,0,878,0,,,,,,,,,,
300,9,300,0,300,1,300,0,300,0,300,2,300,0,300,0,300,1,300,1,300,2,300,0,300,2,304,0,304,0,304,0,304,0,308,0,308,1,308,1,313,0,313,1,321,1,334,0,347,0,347,0,351,0,359,0,373,0,381,0,390,0,395,0,416,1,450,0,484,0,502,0,506,0,523,0,527,0,635,0,700,0,705,0,739,0,882,0,,,,,,,,,,
304,9,304,0,304,1,304,0,304,0,304,2,304,0,304,0,304,1,304,1,304,3,304,0,304,2,308,0,308,0,308,0,308,0,313,0,313,1,313,1,317,0,317,1,325,1,338,0,351,1,351,0,355,1,364,0,377,0,386,0,395,0,399,0,420,0,455,0,489,1,506,0,510,0,527,0,531,0,639,0,705,0,709,0,743,0,886,0,,,,,,,,,,
308,9,308,0,308,1,308,0,308,0,308,1,308,0,308,0,308,0,308,0,308,1,308,0,308,2,313,0,313,0,313,0,313,0,317,0,317,1,317,2,321,0,321,1,330,0,343,0,355,1,355,0,359,2,369,1,381,0,390,0,399,0,403,0,424,0,458,0,493,1,510,0,514,0,531,0,536,0,644,0,709,0,713,0,747,0,890,0,,,,,,,,,,
313,8,313,0,313,0,313,0,313,0,313,2,313,0,313,1,313,1,313,1,313,1,313,0,313,2,317,0,317,0,317,0,317,0,321,0,321,1,321,2,325,0,325,1,334,0,347,0,359,0,359,0,364,1,373,1,386,0,395,0,403,0,407,0,428,1,462,0,498,0,514,0,519,0,536,0,541,0,649,0,713,0,717,0,751,0,895,0,,,,,,,,,,
317,8,317,0,317,1,317,0,317,0,317,3,317,0,317,1,317,2,317,1,317,2,317,0,317,1,321,0,321,0,321,0,321,0,325,0,325,1,325,1,330,0,330,0,338,0,351,1,364,0,364,0,369,0,377,1,390,0,399,0,407,0,412,0,433,1,467,0,502,0,519,0,523,0,541,0,545,0,652,0,717,0,722,0,756,0,899,0,,,,,,,,,,
321,8,321,0,321,1,321,0,321,0,321,3,321,0,321,1,321,1,321,1,321,3,321,0,321,2,325,0,325,0,325,0,325,1,330,0,330,1,330,1,334,0,334,1,343,0,355,1,369,0,369,0,373,0,381,0,395,0,403,0,412,0,416,0,437,0,471,0,506,0,523,0,527,0,545,0,549,0,656,0,722,0,726,0,760,0,,,,,,,,,,,,
325,8,325,0,325,1,325,0,325,0,325,2,325,0,325,3,325,0,325,1,325,3,325,0,325,2,330,0,330,0,330,0,330,2,334,0,334,1,334,2,338,1,338,1,347,0,359,0,373,0,373,0,377,0,386,0,399,0,407,0,416,0,420,1,441,0,476,0,510,0,527,0,531,0,549,0,553,0,661,0,726,0,730,0,765,0,,,,,,,,,,,,
330,8,330,0,330,2,330,0,330,0,330,2,330,0,330,3,330,1,330,1,330,3,330,0,330,2,334,0,334,1,334,0,334,2,338,0,338,0,338,2,343,1,343,1,351,0,364,0,377,0,377,0,381,0,390,1,403,0,412,0,420,0,424,1,446,0,480,0,514,0,531,0,536,0,553,0,557,0,666,0,730,0,734,0,769,0,,,,,,,,,,,,
334,8,334,0,334,1,334,0,334,0,334,2,334,0,334,3,334,2,334,1,334,3,334,0,334,2,338,0,338,2,338,0,338,2,343,0,343,1,343,1,347,0,347,1,355,0,369,0,381,0,381,0,386,0,395,1,407,0,416,1,424,0,428,0,450,0,484,0,519,0,536,0,541,0,557,0,562,0,670,0,734,0,739,0,774,0,,,,,,,,,,,,
338,9,338,0,338,2,338,0,338,1,338,2,338,0,338,2,338,2,338,1,338,3,338,0,338,0,343,0,343,1,343,0,343,1,347,0,347,1,347,1,351,0,351,1,359,0,373,0,386,0,386,0,390,1,399,1,412,0,420,1,428,0,433,0,455,0,489,0,523,0,541,0,545,0,562,0,566,0,674,0,739,0,743,0,778,0,,,,,,,,,,,,
343,10,343,0,343,2,343,0,343,1,343,2,343,0,343,2,343,0,343,1,343,4,343,0,343,1,347,0,347,1,347,0,347,0,351,0,351,0,351,1,355,0,355,1,364,0,377,0,390,0,390,0,395,1,403,1,416,0,424,0,433,0,437,0,458,0,493,0,527,0,545,0,549,0,566,0,570,0,678,0,743,0,747,0,782,0,,,,,,,,,,,,
347,9,347,0,347,2,347,0,347,0,347,2,347,1,347,5,347,0,347,1,347,3,347,0,347,2,351,0,351,1,351,0,351,0,355,0,355,0,355,1,359,0,359,1,369,0,381,0,395,0,395,0,399,0,407,0,420,0,428,0,437,0,441,0,462,0,498,0,531,0,549,0,553,0,570,0,574,0,682,0,747,0,751,0,786,0,,,,,,,,,,,,
351,9,351,0,351,2,351,0,351,0,351,2,351,1,351,5,351,0,351,2,351,2,351,0,351,1,355,0,355,0,355,0,355,0,359,0,359,1,359,1,364,0,364,0,373,0,386,0,399,1,399,0,403,0,412,0,424,0,433,0,441,0,446,0,467,0,502,0,536,0,553,0,557,0,574,0,579,0,687,0,751,0,756,0,791,0,,,,,,,,,,,,
355,9,355,0,355,0,355,0,355,0,355,2,355,0,355,3,355,0,355,2,355,1,355,0,355,2,359,0,359,0,359,0,359,0,364,0,364,1,364,1,369,0,369,1,377,0,390,0,403,1,403,0,407,0,416,0,428,0,437,0,446,0,450,0,471,0,506,0,541,0,557,0,562,0,579,0,583,0,691,0,756,0,760,0,794,0,,,,,,,,,,,,
359,9,359,0,359,1,359,0,359,0,359,2,359,0,359,2,359,0,359,1,359,1,359,0,359,2,364,0,364,0,364,0,364,0,369,0,369,0,369,1,373,0,373,1,381,0,395,0,407,1,407,0,412,0,420,0,433,0,441,0,450,0,455,0,476,0,510,0,545,0,562,0,566,0,583,0,587,0,696,0,760,0,765,0,799,1,,,,,,,,,,,,
364,9,364,0,364,1,364,0,364,0,364,3,364,0,364,2,364,1,364,1,364,1,364,0,364,1,369,0,369,0,369,0,369,1,373,0,373,0,373,1,377,0,377,1,386,0,399,0,412,1,412,0,416,0,424,1,437,0,446,0,455,0,458,0,480,0,514,0,549,0,566,0,570,0,587,0,591,0,700,0,765,0,769,0,803,1,,,,,,,,,,,,
369,9,369,0,369,2,369,0,369,0,369,2,369,0,369,0,369,1,369,1,369,1,369,0,369,0,373,0,373,0,373,0,373,2,377,0,377,1,377,2,381,0,381,1,390,0,403,0,416,0,416,0,420,0,428,1,441,0,450,0,458,0,462,0,484,0,519,0,553,0,570,0,574,0,591,0,596,0,705,0,769,0,774,0,807,0,,,,,,,,,,,,
373,8,373,0,373,2,373,0,373,0,373,1,373,0,373,0,373,1,373,1,373,3,373,0,373,2,377,0,377,0,377,0,377,1,381,0,381,1,381,2,386,0,386,1,395,0,407,0,420,0,420,0,424,0,433,0,446,0,455,0,462,0,467,0,489,1,523,0,557,0,574,0,579,0,596,0,601,0,709,0,774,0,778,0,811,0,,,,,,,,,,,,
377,7,377,0,377,2,377,0,377,1,377,1,377,0,377,2,377,2,377,1,377,3,377,0,377,2,381,0,381,0,381,0,381,2,386,0,386,1,386,1,390,0,390,1,399,0,412,0,424,0,424,0,428,0,437,0,450,0,458,0,467,0,471,0,493,1,527,0,562,0,579,0,583,0,601,0,605,0,713,0,778,0,782,0,817,0,,,,,,,,,,,,
381,7,381,0,381,2,381,0,381,1,381,2,381,0,381,2,381,3,381,1,381,3,381,0,381,0,386,1,386,0,386,0,386,3,390,1,390,0,390,1,395,0,395,1,403,0,416,0,428,1,428,0,433,0,441,0,455,0,462,0,471,0,476,0,498,0,531,0,566,0,583,0,587,0,605,0,609,0,717,0,782,0,786,0,821,0,,,,,,,,,,,,
386,7,386,0,386,2,386,0,386,0,386,2,386,0,386,0,386,1,386,1,386,1,386,0,386,2,390,2,390,1,390,0,390,3,395,1,395,0,395,1,399,0,399,1,407,0,420,0,433,1,433,0,437,0,446,0,458,0,467,0,476,0,480,0,502,0,536,0,570,0,587,0,591,0,609,0,613,0,722,1,786,0,791,0,824,0,,,,,,,,,,,,
390,7,390,0,390,2,390,0,390,0,390,2,390,0,390,0,390,1,390,1,390,2,390,0,390,2,395,1,395,1,395,0,395,3,399,1,399,1,399,1,403,0,403,1,412,0,424,0,437,0,437,0,441,0,450,0,462,0,471,0,480,0,484,0,506,0,541,0,574,0,591,0,596,0,613,0,617,0,726,1,791,0,794,0,829,0,,,,,,,,,,,,
395,7,395,0,395,2,395,0,395,0,395,2,395,0,395,2,395,1,395,1,395,2,395,0,395,1,399,0,399,0,399,0,399,2,403,0,403,1,403,1,407,0,407,1,416,0,428,0,441,0,441,0,446,1,455,1,467,0,476,0,484,0,489,0,510,0,545,0,579,0,596,0,601,0,617,0,622,0,730,0,794,0,799,0,833,0,,,,,,,,,,,,
399,7,399,0,399,2,399,0,399,1,399,1,399,0,399,2,399,1,399,1,399,2,399,0,399,1,403,1,403,0,403,0,403,0,407,0,407,1,407,1,412,0,412,1,420,0,433,1,446,0,446,0,450,1,458,1,471,0,480,0,489,0,493,0,514,0,549,0,583,0,601,0,605,0,622,0,626,0,734,0,799,0,803,0,837,0,,,,,,,,,,,,
403,7,403,0,403,2,403,0,403,1,403,2,403,0,403,0,403,2,403,1,403,2,403,0,403,2,407,2,407,0,407,0,407,1,412,0,412,1,412,1,416,0,416,0,424,0,437,1,450,0,450,0,455,0,462,0,476,0,484,0,493,0,498,0,519,0,553,0,587,0,605,0,609,0,626,0,631,0,739,0,803,0,807,0,842,0,,,,,,,,,,,,
407,7,407,0,407,1,407,0,407,1,407,2,407,0,407,2,407,2,407,1,407,2,407,0,407,2,412,1,412,0,412,0,412,1,416,0,416,1,416,1,420,0,420,1,428,1,441,0,455,0,455,0,458,0,467,0,480,0,489,0,498,0,502,0,523,0,557,0,591,0,609,0,613,0,631,0,635,0,743,0,807,0,811,0,846,0,,,,,,,,,,,,
412,7,412,0,412,1,412,0,412,1,412,1,412,1,412,3,412,2,412,1,412,2,412,0,412,2,416,0,416,0,416,0,416,2,420,0,420,1,420,1,424,0,424,1,433,1,446,0,458,0,458,0,462,0,471,0,484,0,493,0,502,0,506,0,527,0,562,0,596,0,613,0,617,0,635,0,639,0,747,0,811,0,817,0,850,0,,,,,,,,,,,,
416,6,416,0,416,1,416,0,416,0,416,1,416,1,416,2,416,2,416,1,416,2,416,0,416,2,420,0,420,0,420,0,420,2,424,0,424,1,424,1,428,0,428,1,437,0,450,0,462,0,462,0,467,0,476,1,489,0,498,0,506,0,510,0,531,0,566,0,601,0,617,0,622,0,639,0,644,0,751,0,817,0,821,0,855,0,,,,,,,,,,,,
420,6,420,0,420,1,420,0,420,0,420,1,420,0,420,0,420,2,420,1,420,3,420,0,420,2,424,0,424,1,424,0,424,3,428,0,428,1,428,1,433,0,433,1,441,1,455,0,467,3,467,0,471,0,480,1,493,0,502,0,510,0,514,0,536,0,570,0,605,0,622,0,626,0,644,0,649,0,756,0,821,0,824,0,859,0,,,,,,,,,,,,
424,6,424,0,424,0,424,0,424,0,424,2,424,0,424,1,424,1,424,1,424,2,424,0,424,1,428,0,428,1,428,0,428,4,433,1,433,0,433,0,437,0,437,1,446,1,458,0,471,3,471,0,476,0,484,1,498,0,506,0,514,0,519,0,541,0,574,0,609,0,626,0,631,0,649,0,652,0,760,0,824,0,829,0,863,0,,,,,,,,,,,,
428,6,428,0,428,1,428,0,428,0,428,3,428,0,428,3,428,1,428,1,428,1,428,1,428,2,433,0,433,1,433,0,433,2,437,1,437,1,437,0,441,0,441,1,450,0,462,0,476,0,476,0,480,0,489,1,502,0,510,0,519,0,523,0,545,0,579,0,613,0,631,0,635,0,652,0,656,0,765,0,829,0,833,0,872,0,,,,,,,,,,,,
433,6,433,0,433,2,433,0,433,0,433,3,433,1,433,5,433,0,433,1,433,2,433,1,433,2,437,0,437,2,437,0,437,0,441,0,441,1,441,1,446,0,446,1,455,0,467,0,480,0,480,0,484,0,493,1,506,0,514,0,523,0,527,0,549,1,583,0,617,0,635,0,639,0,656,0,661,0,769,0,833,0,837,0,878,0,,,,,,,,,,,,
437,6,437,0,437,1,437,0,437,0,437,1,437,3,437,5,437,1,437,1,437,2,437,0,437,2,441,0,441,1,441,0,441,0,446,0,446,1,446,1,450,0,450,1,458,0,471,1,484,0,484,0,489,0,498,1,510,0,519,0,527,0,531,0,553,1,587,0,622,0,639,0,644,0,661,0,666,0,774,0,837,0,842,0,882,0,,,,,,,,,,,,
441,6,441,0,441,2,441,0,441,0,441,2,441,2,441,2,441,1,441,1,441,1,441,0,441,2,446,1,446,1,446,1,446,0,450,1,450,0,450,1,455,0,455,0,462,0,476,1,489,0,489,0,493,0,502,0,514,0,523,0,531,0,536,0,557,0,591,0,626,0,644,0,649,0,666,0,670,0,778,0,842,0,846,0,886,0,,,,,,,,,,,,
446,6,446,0,446,1,446,0,446,0,446,2,446,0,446,2,446,0,446,1,446,2,446,0,446,2,450,2,450,1,450,1,450,1,455,1,455,1,455,1,458,0,458,1,467,0,480,0,493,0,493,0,498,0,506,0,519,0,527,0,536,0,541,0,562,0,596,0,631,0,649,0,652,0,670,0,674,0,782,0,846,0,850,0,890,0,,,,,,,,,,,,
450,6,450,0,450,1,450,0,450,0,450,2,450,1,450,4,450,1,450,1,450,2,450,0,450,2,455,2,455,1,455,0,455,2,458,0,458,1,458,1,462,0,462,1,471,0,484,0,498,0,498,0,502,0,510,0,523,0,531,0,541,0,545,1,566,0,601,0,635,0,652,0,656,0,674,0,678,0,786,0,850,0,855,0,895,0,,,,,,,,,,,,
455,6,455,0,455,0,455,0,455,0,455,2,455,1,455,3,455,1,455,1,455,2,455,0,455,2,458,2,458,1,458,0,458,1,462,0,462,1,462,1,467,0,467,1,476,0,489,0,502,0,502,0,506,0,514,0,527,0,536,0,545,0,549,1,570,0,605,0,639,0,656,0,661,0,678,0,682,0,791,0,855,0,859,0,899,0,,,,,,,,,,,,
458,6,458,0,458,0,458,0,458,1,458,1,458,0,458,0,458,1,458,1,458,2,458,0,458,2,462,2,462,2,462,0,462,0,467,1,467,1,467,1,471,0,471,0,480,0,493,0,506,0,506,0,510,0,519,1,531,0,541,0,549,0,553,0,574,0,609,0,644,0,661,0,666,0,682,0,687,0,794,0,859,0,863,0,,,,,,,,,,,,,,
462,6,462,0,462,1,462,0,462,1,462,1,462,0,462,1,462,0,462,1,462,2,462,0,462,2,467,2,467,2,467,0,467,0,471,1,471,1,471,1,476,0,476,0,484,0,498,0,510,0,510,0,514,0,523,1,536,0,545,0,553,0,557,0,579,0,613,0,649,0,666,0,670,0,687,0,691,0,799,0,863,0,872,0,,,,,,,,,,,,,,
467,6,467,0,467,1,467,0,467,0,467,2,467,0,467,1,467,0,467,1,467,2,467,0,467,2,471,2,471,3,471,0,471,2,476,0,476,0,476,1,480,0,480,1,489,0,502,0,514,0,514,0,519,0,527,1,541,0,549,0,557,0,562,0,583,0,617,0,652,0,670,0,674,0,691,0,696,0,803,0,872,0,878,0,,,,,,,,,,,,,,
471,6,471,0,471,1,471,0,471,0,471,2,471,1,471,2,471,2,471,1,471,3,471,0,471,2,476,0,476,2,476,0,476,2,480,0,480,0,480,1,484,0,484,1,493,0,506,0,519,0,519,0,523,0,531,1,545,0,553,1,562,0,566,0,587,0,622,0,656,0,674,0,678,0,696,0,700,0,807,0,878,0,882,0,,,,,,,,,,,,,,
476,7,476,0,476,0,476,0,476,0,476,1,476,1,476,5,476,2,476,2,476,3,476,0,476,2,480,0,480,1,480,0,480,1,484,1,484,1,484,1,489,0,489,1,498,0,510,0,523,0,523,0,527,0,536,1,549,0,557,1,566,0,570,0,591,0,626,0,661,0,678,0,682,0,700,0,705,0,811,0,882,0,886,0,,,,,,,,,,,,,,
480,7,480,0,480,1,480,0,480,0,480,1,480,0,480,5,480,1,480,2,480,2,480,0,480,2,484,0,484,0,484,0,484,0,489,1,489,1,489,1,493,0,493,1,502,0,514,0,527,1,527,0,531,0,541,1,553,0,562,0,570,1,574,0,596,0,631,0,666,0,682,0,687,0,705,0,709,0,817,0,886,0,890,0,,,,,,,,,,,,,,
484,6,484,0,484,2,484,0,484,0,484,1,484,0,484,3,484,1,484,1,484,2,484,0,484,2,489,0,489,0,489,0,489,0,493,0,493,1,493,1,498,0,498,1,506,0,519,0,531,1,531,0,536,0,545,1,557,0,566,0,574,1,579,0,601,0,635,0,670,0,687,0,691,0,709,0,713,0,821,0,890,0,895,0,,,,,,,,,,,,,,
489,6,489,0,489,1,489,0,489,0,489,1,489,0,489,1,489,1,489,1,489,1,489,0,489,2,493,1,493,1,493,0,493,0,498,0,498,1,498,2,502,0,502,1,510,0,523,0,536,1,536,0,541,1,549,1,562,0,570,0,579,0,583,0,605,0,639,0,674,0,691,0,696,0,713,0,717,0,824,1,895,0,899,0,,,,,,,,,,,,,,
493,7,493,0,493,1,493,0,493,0,493,1,493,0,493,3,493,0,493,1,493,3,493,0,493,2,498,1,498,1,498,0,498,0,502,0,502,1,502,2,506,0,506,1,514,0,527,0,541,1,541,0,545,1,553,1,566,0,574,0,583,0,587,0,609,1,644,0,678,0,696,0,700,0,717,0,722,0,829,1,899,0,,,,,,,,,,,,,,,,
498,7,498,0,498,1,498,0,498,0,498,1,498,0,498,3,498,1,498,1,498,3,498,0,498,2,502,0,502,0,502,0,502,0,506,0,506,1,506,1,510,0,510,1,519,1,531,1,545,0,545,0,549,0,557,1,570,0,579,0,587,0,591,0,613,1,649,0,682,0,700,0,705,0,722,0,726,0,833,0,,,,,,,,,,,,,,,,,,
502,7,502,0,502,0,502,0,502,0,502,1,502,0,502,1,502,2,502,1,502,1,502,0,502,2,506,0,506,1,506,0,506,0,510,0,510,1,510,1,514,0,514,1,523,1,536,1,549,1,549,0,553,0,562,1,574,0,583,0,591,0,596,0,617,0,652,0,687,0,705,0,709,0,726,0,730,0,837,0,,,,,,,,,,,,,,,,,,
506,6,506,0,506,1,506,0,506,0,506,1,506,0,506,4,506,2,506,1,506,2,506,0,506,2,510,1,510,1,510,0,510,0,514,0,514,0,514,1,519,0,519,1,527,0,541,0,553,1,553,0,557,0,566,1,579,0,587,0,596,0,601,0,622,0,656,0,691,0,709,0,713,0,730,0,734,0,842,0,,,,,,,,,,,,,,,,,,
510,6,510,0,510,1,510,0,510,0,510,1,510,0,510,5,510,2,510,1,510,3,510,0,510,2,514,2,514,1,514,0,514,0,519,0,519,0,519,2,523,0,523,1,531,0,545,0,557,0,557,0,562,0,570,1,583,0,591,0,601,0,605,0,626,0,661,1,696,0,713,0,717,0,734,0,739,0,846,0,,,,,,,,,,,,,,,,,,
514,6,514,0,514,1,514,0,514,0,514,2,514,0,514,3,514,2,514,1,514,2,514,0,514,2,519,2,519,1,519,0,519,1,523,0,523,1,523,2,527,0,527,1,536,0,549,0,562,0,562,0,566,0,574,2,587,0,596,0,605,0,609,0,631,0,666,1,700,0,717,0,722,0,739,0,743,0,850,0,,,,,,,,,,,,,,,,,,
519,6,519,0,519,0,519,0,519,0,519,2,519,0,519,4,519,1,519,1,519,1,519,0,519,2,523,1,523,0,523,0,523,1,527,0,527,1,527,2,531,0,531,1,541,0,553,0,566,0,566,0,570,0,579,2,591,0,601,0,609,0,613,0,635,0,670,1,705,0,722,0,726,0,743,0,747,0,855,0,,,,,,,,,,,,,,,,,,
523,6,523,0,523,1,523,0,523,0,523,2,523,0,523,4,523,0,523,1,523,2,523,0,523,1,527,1,527,0,527,0,527,0,531,0,531,0,531,1,536,0,536,0,545,0,557,0,570,0,570,0,574,0,583,1,596,0,605,0,613,0,617,0,639,0,674,0,709,0,726,0,730,0,747,0,751,0,859,0,,,,,,,,,,,,,,,,,,
527,7,527,0,527,1,527,0,527,1,527,2,527,1,527,1,527,0,527,1,527,4,527,0,527,1,531,0,531,0,531,0,531,2,536,1,536,1,536,1,541,0,541,1,549,0,562,0,574,0,574,0,579,0,587,1,601,0,609,0,617,0,622,0,644,0,678,0,713,0,730,0,734,0,751,0,756,0,863,0,,,,,,,,,,,,,,,,,,
531,7,531,0,531,2,531,0,531,1,531,2,531,2,531,1,531,1,531,1,531,3,531,0,531,2,536,0,536,0,536,0,536,2,541,1,541,1,541,2,545,0,545,1,553,0,566,0,579,1,579,0,583,0,591,0,605,0,613,0,622,0,626,0,649,0,682,0,717,0,734,0,739,0,756,0,760,0,872,0,,,,,,,,,,,,,,,,,,
536,7,536,1,536,1,536,0,536,0,536,2,536,2,536,1,536,1,536,1,536,3,536,0,536,2,541,0,541,0,541,0,541,1,545,0,545,1,545,2,549,0,549,0,557,0,570,1,583,1,583,0,587,0,596,0,609,0,617,0,626,0,631,0,652,0,687,0,722,0,739,0,743,0,760,0,765,0,878,0,,,,,,,,,,,,,,,,,,
