Time,Manual_Count,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,Apple,Time,Billion Electric Co. Ltd.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,NETGEAR,Time,"NETGEAR INC.,",Time,D-Link International,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"Apple, Inc",Time,Routerboard.com,Time,Intel Corporate,Time,Hewlett Packard,Time,Belkin International Inc.,Time,ASUSTek COMPUTER INC.,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Hewlett-Packard Company,Time,DrayTek Corp.,Time,Dell Inc,Time,SEIKO EPSON CORPORATION,Time,"Samsung Electro Mechanics co.,LTD.",Time,Liteon Tech Corp.,Time,SIRONA DENTAL SYSTEMS GmbH & Co. KG,Time,"Apple, Inc.",Time,Hon Hai Precision Ind.Co.Ltd,Time,"Micro-Star Int'l Co, Ltd",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Netgear Inc.,Time,IBM Corp,Time,HTC Corporation,Time,OnePlus Tech (Shenzhen) Ltd,Time,Lexmark International Inc.,Time,Microsoft Corporation,Time,Apple Inc,Time,ICP Electronics Inc.,Time,"Samsung Electro Mechanics co., LTD.",Time,Microsoft,Time,IBM,Time,"Murata Manufactuaring Co.,Ltd.",Time,Wistron Corporation,Time,Wistron InfoComm(ZhongShan) Corporation
57,7,57,1,57,0,57,2,57,4,57,2,57,0,57,1,57,2,57,0,57,1,57,1,57,0,61,0,65,0,65,1,78,0,83,0,91,0,95,0,100,0,104,0,108,0,108,0,112,0,112,0,121,1,121,0,121,0,134,0,142,0,142,0,142,0,142,0,164,0,217,0,234,0,239,0,243,0,252,0,269,0,,,,,,
61,7,61,1,61,1,61,2,61,3,61,2,61,0,61,1,61,2,61,0,61,1,61,1,61,1,65,0,69,1,69,1,83,0,87,1,95,0,100,0,104,0,108,0,112,1,112,0,117,0,117,0,125,1,125,0,125,0,138,0,147,0,147,0,147,0,147,0,169,0,222,0,239,0,243,0,248,0,256,0,274,0,,,,,,
65,7,65,1,65,1,65,2,65,0,65,2,65,0,65,2,65,2,65,1,65,1,65,1,65,1,69,0,74,1,74,0,87,1,91,1,100,0,104,0,108,1,112,0,117,1,117,0,121,0,121,0,130,0,130,0,130,0,142,0,151,0,151,0,151,0,151,0,172,0,225,0,243,0,248,0,252,0,261,0,278,0,,,,,,
69,7,69,1,69,0,69,1,69,1,69,1,69,0,69,2,69,2,69,1,69,1,69,1,69,0,74,0,78,2,78,0,91,1,95,0,104,0,108,1,112,1,117,0,121,0,121,0,125,0,125,0,134,0,134,0,134,0,147,0,156,0,156,0,156,0,156,0,177,0,230,0,248,0,252,0,256,0,265,0,282,0,,,,,,
74,7,74,1,74,0,74,2,74,2,74,2,74,0,74,1,74,2,74,1,74,1,74,1,74,1,78,0,83,2,83,0,95,1,100,0,108,0,112,1,117,0,121,0,125,0,125,0,130,0,130,0,138,0,138,0,138,0,151,0,160,0,160,0,160,0,160,0,182,0,234,0,252,0,256,0,261,0,269,0,287,0,,,,,,
78,7,78,1,78,0,78,2,78,1,78,2,78,0,78,1,78,2,78,0,78,1,78,1,78,1,83,0,87,0,87,0,100,0,104,0,112,0,117,0,121,0,125,0,130,0,130,1,134,0,134,0,142,0,142,0,142,0,156,0,164,0,164,0,164,0,164,0,185,0,239,0,256,0,261,0,265,0,274,0,291,0,,,,,,
83,7,83,1,83,1,83,2,83,2,83,1,83,1,83,1,83,2,83,1,83,1,83,1,83,1,87,0,91,0,91,0,104,0,108,0,117,0,121,0,125,0,130,0,134,0,134,1,138,0,138,0,147,0,147,0,147,0,160,0,169,0,169,0,169,0,169,0,190,0,243,0,261,0,265,0,269,0,278,0,295,0,,,,,,
87,7,87,1,87,1,87,1,87,2,87,1,87,2,87,1,87,2,87,1,87,1,87,1,87,0,91,0,95,0,95,0,108,0,112,0,121,1,125,1,130,0,134,0,138,0,138,0,142,0,142,0,151,0,151,0,151,0,164,1,172,0,172,0,172,0,172,0,194,0,248,0,265,0,269,0,274,0,282,0,300,0,,,,,,
91,7,91,1,91,1,91,1,91,1,91,1,91,1,91,1,91,2,91,0,91,1,91,0,91,0,95,0,100,0,100,1,112,1,117,0,125,1,130,1,134,0,138,0,142,0,142,0,147,0,147,0,156,0,156,0,156,0,169,1,177,0,177,1,177,0,177,0,199,0,252,0,269,0,274,0,278,0,287,0,304,0,,,,,,
95,7,95,0,95,0,95,2,95,1,95,1,95,1,95,3,95,2,95,0,95,1,95,0,95,0,100,0,104,0,104,1,117,1,121,0,130,0,134,1,138,0,142,0,147,0,147,0,151,0,151,0,160,0,160,0,160,0,172,0,182,0,182,1,182,0,182,0,203,0,256,0,274,0,278,0,282,0,291,0,308,0,,,,,,
