Time,Manual_Count,Time,Intel Corporate,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Microsoft Corporation,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"NETGEAR INC.,",Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Belkin International Inc.,Time,Netgear Inc.,Time,"Murata Manufactuaring Co.,Ltd.",Time,Hewlett Packard,Time,"Micro-Star Int'l Co, Ltd",Time,"Huawei Technologies Co., Ltd",Time,HTC Corporation,Time,"Apple, Inc",Time,SEIKO EPSON CORPORATION,Time,IBM Corp,Time,IBM,Time,Ubiquiti Networks,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"Samsung Electronics Co.,Ltd",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"ELITEGROUP COMPUTER SYSTEM CO., LTD.",Time,Liteon Technology Corporation,Time,"Samsung Electro Mechanics co., LTD.",Time,ASUSTek COMPUTER INC.,Time,"Samsung Electronics Co., LTD",Time,Apple Inc,Time,"Apple, Inc.",Time,WISOL
,,318,1,318,2,318,2,318,0,318,1,318,1,318,2,318,2,318,2,318,1,318,1,323,1,327,0,353,0,379,0,379,0,393,1,406,0,419,1,436,1,445,0,445,0,471,0,475,0,485,0,493,0,567,0,589,0,,,,,,,,,,,,
,,323,1,323,2,323,2,323,0,323,1,323,1,323,2,323,2,323,2,323,1,323,1,327,1,332,0,358,0,384,0,384,0,397,1,410,0,423,1,441,1,449,0,449,0,475,0,480,0,489,0,497,0,571,0,593,0,,,,,,,,,,,,
,,327,2,327,2,327,2,327,0,327,1,327,1,327,1,327,2,327,2,327,1,327,1,332,1,336,0,362,0,388,0,388,0,402,1,414,0,427,1,445,1,454,0,454,0,480,0,485,0,493,0,502,0,576,0,597,0,,,,,,,,,,,,
,,332,2,332,2,332,2,332,0,332,1,332,1,332,1,332,2,332,2,332,1,332,1,336,1,340,0,366,0,393,0,393,0,406,1,419,1,432,0,449,0,458,0,458,0,485,0,489,0,497,0,506,0,580,0,602,0,,,,,,,,,,,,
,,336,1,336,2,336,2,336,0,336,1,336,1,336,1,336,2,336,2,336,1,336,1,340,1,345,0,370,0,397,0,397,0,410,0,423,1,436,0,454,0,462,0,462,0,489,0,493,0,502,0,511,0,585,0,,,,,,,,,,,,,,
,,340,1,340,2,340,2,340,0,340,1,340,1,340,1,340,2,340,2,340,1,340,1,345,0,349,0,375,0,402,0,402,0,414,0,427,1,441,0,458,0,467,0,467,0,493,0,497,0,506,0,515,0,589,0,,,,,,,,,,,,,,
,,345,1,345,2,345,2,345,0,345,1,345,1,345,2,345,2,345,3,345,1,345,1,349,0,353,0,379,0,406,0,406,0,419,0,432,1,445,0,462,0,471,0,471,0,497,0,502,0,511,0,519,0,593,0,,,,,,,,,,,,,,
,,349,1,349,1,349,2,349,0,349,1,349,1,349,2,349,2,349,3,349,1,349,1,353,0,358,0,384,0,410,0,410,0,423,0,436,1,449,0,467,0,475,0,475,0,502,0,506,0,515,0,524,0,597,0,,,,,,,,,,,,,,
,,353,0,353,1,353,2,353,0,353,1,353,1,353,2,353,2,353,3,353,1,353,1,358,1,362,0,388,0,414,0,414,0,427,0,441,1,454,0,471,0,480,0,480,0,506,0,511,0,519,0,528,0,602,0,,,,,,,,,,,,,,
,,358,0,358,1,358,2,358,0,358,1,358,1,358,2,358,2,358,3,358,1,358,1,362,1,366,0,393,0,419,0,419,0,432,0,445,0,458,1,475,0,485,0,485,0,511,0,515,0,524,0,532,0,,,,,,,,,,,,,,,,
,,362,2,362,1,362,2,362,0,362,1,362,1,362,3,362,2,362,3,362,1,362,1,366,1,370,0,397,0,423,0,423,0,436,0,449,0,462,1,480,0,489,0,489,0,515,0,519,0,528,0,537,0,,,,,,,,,,,,,,,,
,,366,2,366,1,366,2,366,0,366,1,366,1,366,3,366,2,366,3,366,1,366,1,370,1,375,0,402,0,427,0,427,0,441,0,454,0,467,2,485,0,493,0,493,0,519,0,524,0,532,0,541,0,,,,,,,,,,,,,,,,
,,370,3,370,1,370,2,370,0,370,1,370,1,370,3,370,2,370,2,370,1,370,1,375,1,379,0,406,0,432,0,432,0,445,0,458,0,471,2,489,0,497,0,497,0,524,0,528,0,537,0,546,0,,,,,,,,,,,,,,,,
,,375,3,375,1,375,2,375,0,375,1,375,1,375,3,375,2,375,2,375,1,375,1,379,1,384,0,410,0,436,0,436,0,449,1,462,0,475,2,493,0,502,0,502,0,528,0,532,0,541,0,550,0,,,,,,,,,,,,,,,,
,,379,3,379,1,379,2,379,0,379,1,379,1,379,3,379,2,379,2,379,1,379,1,384,1,388,1,414,0,441,0,441,0,454,1,467,0,480,2,497,0,506,1,506,0,532,0,537,0,546,0,554,0,,,,,,,,,,,,,,,,
,,384,3,384,1,384,2,384,0,384,1,384,1,384,3,384,2,384,1,384,1,384,1,388,1,393,1,419,0,445,0,445,0,458,1,471,0,485,1,502,0,511,1,511,0,537,0,541,0,550,0,559,0,,,,,,,,,,,,,,,,
,,388,2,388,1,388,2,388,0,388,1,388,1,388,3,388,2,388,1,388,1,388,1,393,1,397,1,423,0,449,0,449,0,462,1,475,0,489,1,506,0,515,1,515,0,541,0,546,0,554,0,563,0,,,,,,,,,,,,,,,,
,,393,2,393,1,393,2,393,0,393,1,393,1,393,2,393,2,393,1,393,1,393,1,397,1,402,1,427,0,454,0,454,0,467,1,480,0,493,0,511,0,519,1,519,0,546,0,550,0,559,0,567,0,,,,,,,,,,,,,,,,
,,397,1,397,0,397,2,397,0,397,1,397,1,397,2,397,2,397,1,397,1,397,1,402,1,406,1,432,0,458,0,458,0,471,1,485,1,497,1,515,0,524,1,524,0,550,0,554,0,563,0,571,0,,,,,,,,,,,,,,,,
,,402,1,402,0,402,2,402,0,402,1,402,1,402,2,402,2,402,1,402,1,402,1,406,1,410,1,436,0,462,0,462,0,475,1,489,1,502,1,519,0,528,1,528,0,554,0,559,0,567,0,576,0,,,,,,,,,,,,,,,,
,,406,1,406,0,406,3,406,0,406,1,406,1,406,2,406,2,406,1,406,1,406,1,410,1,414,0,441,0,467,0,467,0,480,1,493,1,506,1,524,0,532,0,532,0,559,0,563,0,571,0,580,0,,,,,,,,,,,,,,,,
,,410,1,410,1,410,3,410,0,410,1,410,1,410,2,410,2,410,2,410,1,410,1,414,1,419,0,445,0,471,0,471,0,485,0,497,1,511,1,528,0,537,0,537,0,563,0,567,0,576,0,585,0,,,,,,,,,,,,,,,,
,,414,1,414,1,414,3,414,0,414,1,414,1,414,3,414,2,414,2,414,1,414,1,419,1,423,0,449,0,475,0,475,0,489,0,502,1,515,1,532,0,541,0,541,0,567,0,571,0,580,0,589,0,,,,,,,,,,,,,,,,
,,419,1,419,1,419,3,419,0,419,1,419,1,419,3,419,2,419,2,419,1,419,1,423,1,427,1,454,0,480,0,480,0,493,0,506,1,519,2,537,0,546,0,546,0,571,0,576,0,585,0,593,0,,,,,,,,,,,,,,,,
,,423,0,423,1,423,3,423,0,423,1,423,1,423,3,423,2,423,2,423,1,423,1,427,1,432,1,458,0,485,0,485,0,497,0,511,0,524,1,541,0,550,0,550,0,576,0,580,0,589,0,597,0,,,,,,,,,,,,,,,,
,,427,1,427,1,427,3,427,0,427,1,427,1,427,3,427,2,427,2,427,1,427,1,432,1,436,1,462,0,489,0,489,0,502,0,515,0,528,2,546,1,554,0,554,0,580,0,585,1,593,0,602,0,,,,,,,,,,,,,,,,
,,432,1,432,1,432,4,432,0,432,1,432,1,432,3,432,2,432,2,432,1,432,1,436,0,441,1,467,0,493,0,493,1,506,0,519,0,532,2,550,1,559,0,559,0,585,0,589,1,597,0,,,,,,,,,,,,,,,,,,
,,436,1,436,1,436,3,436,0,436,1,436,1,436,2,436,2,436,1,436,1,436,1,441,1,445,1,471,0,497,0,497,1,511,1,524,0,537,2,554,1,563,0,563,0,589,0,593,1,602,0,,,,,,,,,,,,,,,,,,
,,441,1,441,1,441,3,441,0,441,1,441,1,441,1,441,2,441,1,441,1,441,1,445,1,449,1,475,0,502,0,502,1,515,1,528,0,541,2,559,1,567,0,567,0,593,0,597,1,,,,,,,,,,,,,,,,,,,,
,,445,1,445,1,445,3,445,0,445,1,445,1,445,2,445,2,445,1,445,1,445,1,449,1,454,0,480,0,506,0,506,1,519,1,532,0,546,1,563,1,571,0,571,0,597,0,602,1,,,,,,,,,,,,,,,,,,,,
,,449,1,449,1,449,3,449,0,449,1,449,1,449,2,449,2,449,1,449,1,449,1,454,1,458,0,485,0,511,0,511,1,524,1,537,0,550,1,567,1,576,0,576,0,602,0,,,,,,,,,,,,,,,,,,,,,,
,,454,1,454,1,454,3,454,0,454,1,454,1,454,2,454,2,454,1,454,1,454,1,458,1,462,0,489,0,515,0,515,1,528,1,541,0,554,0,571,0,580,0,580,0,,,,,,,,,,,,,,,,,,,,,,,,
,,458,0,458,1,458,2,458,0,458,1,458,1,458,2,458,2,458,1,458,1,458,1,462,1,467,0,493,0,519,0,519,0,532,1,546,0,559,0,576,0,585,0,585,0,,,,,,,,,,,,,,,,,,,,,,,,
,,462,1,462,1,462,2,462,1,462,1,462,1,462,2,462,2,462,2,462,1,462,1,467,1,471,0,497,0,524,0,524,0,537,1,550,0,563,0,580,0,589,0,589,0,,,,,,,,,,,,,,,,,,,,,,,,
,,467,1,467,1,467,2,467,1,467,1,467,1,467,2,467,2,467,2,467,1,467,1,471,1,475,0,502,0,528,0,528,0,541,1,554,0,567,0,585,0,593,0,593,0,,,,,,,,,,,,,,,,,,,,,,,,
,,471,1,471,1,471,2,471,1,471,1,471,1,471,2,471,2,471,2,471,1,471,1,475,1,480,0,506,0,532,0,532,0,546,1,559,0,571,0,589,0,597,0,597,1,,,,,,,,,,,,,,,,,,,,,,,,
,,475,1,475,1,475,2,475,1,475,1,475,1,475,2,475,2,475,2,475,1,475,1,480,1,485,0,511,0,537,0,537,0,550,1,563,0,576,0,593,0,602,0,602,1,,,,,,,,,,,,,,,,,,,,,,,,
,,480,2,480,1,480,2,480,1,480,1,480,1,480,2,480,2,480,2,480,1,480,1,485,1,489,0,515,0,541,0,541,0,554,1,567,0,580,0,597,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,485,2,485,1,485,2,485,1,485,1,485,1,485,2,485,2,485,3,485,1,485,1,489,1,493,0,519,0,546,0,546,0,559,0,571,0,585,0,602,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,489,3,489,1,489,2,489,1,489,1,489,1,489,2,489,2,489,3,489,1,489,1,493,1,497,1,524,0,550,0,550,0,563,0,576,0,589,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,493,3,493,1,493,2,493,1,493,1,493,1,493,2,493,2,493,3,493,2,493,1,497,1,502,1,528,0,554,0,554,0,567,0,580,0,593,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,497,3,497,1,497,2,497,1,497,1,497,1,497,2,497,2,497,3,497,2,497,1,502,1,506,1,532,0,559,0,559,0,571,0,585,0,597,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,502,3,502,1,502,2,502,1,502,1,502,1,502,2,502,2,502,3,502,2,502,1,506,1,511,1,537,0,563,0,563,0,576,0,589,0,602,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,506,2,506,1,506,2,506,1,506,1,506,1,506,2,506,2,506,4,506,2,506,1,511,0,515,1,541,0,567,0,567,0,580,0,593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,511,2,511,1,511,3,511,1,511,1,511,1,511,2,511,2,511,3,511,2,511,1,515,0,519,1,546,0,571,0,571,0,585,0,597,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,515,1,515,1,515,3,515,1,515,1,515,1,515,2,515,2,515,3,515,2,515,1,519,1,524,1,550,0,576,0,576,0,589,0,602,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,519,1,519,1,519,3,519,1,519,1,519,1,519,2,519,2,519,3,519,1,519,1,524,1,528,1,554,0,580,0,580,0,593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,524,0,524,1,524,3,524,0,524,1,524,1,524,2,524,2,524,3,524,1,524,1,528,1,532,1,559,0,585,0,585,0,597,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,528,0,528,2,528,3,528,0,528,1,528,1,528,2,528,2,528,2,528,1,528,1,532,1,537,1,563,0,589,0,589,0,602,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,532,1,532,2,532,3,532,0,532,1,532,1,532,2,532,2,532,2,532,1,532,1,537,1,541,1,567,0,593,0,593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,537,1,537,2,537,2,537,0,537,1,537,1,537,2,537,2,537,2,537,1,537,1,541,1,546,0,571,0,597,0,597,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,541,2,541,2,541,2,541,0,541,1,541,1,541,2,541,2,541,2,541,1,541,1,546,1,550,0,576,0,602,0,602,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,546,2,546,1,546,2,546,0,546,1,546,1,546,2,546,2,546,3,546,1,546,1,550,1,554,0,580,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,550,2,550,1,550,3,550,0,550,1,550,1,550,2,550,2,550,3,550,1,550,1,554,1,559,0,585,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,554,2,554,0,554,3,554,0,554,1,554,1,554,2,554,2,554,3,554,1,554,1,559,1,563,0,589,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,559,1,559,0,559,3,559,0,559,1,559,1,559,2,559,2,559,2,559,1,559,1,563,1,567,0,593,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,563,1,563,0,563,3,563,0,563,1,563,1,563,2,563,2,563,2,563,1,563,1,567,1,571,0,597,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567,1,567,0,567,4,567,0,567,1,567,1,567,2,567,2,567,2,567,1,567,1,571,1,576,0,602,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,571,1,571,1,571,4,571,0,571,1,571,1,571,2,571,2,571,2,571,1,571,1,576,1,580,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,576,1,576,1,576,4,576,0,576,1,576,1,576,2,576,2,576,3,576,1,576,1,580,1,585,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,580,1,580,1,580,4,580,0,580,1,580,1,580,2,580,2,580,3,580,1,580,1,585,1,589,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,585,1,585,1,585,4,585,0,585,1,585,1,585,2,585,2,585,3,585,1,585,1,589,1,593,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,589,1,589,1,589,4,589,0,589,1,589,1,589,2,589,2,589,4,589,1,589,1,593,1,597,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,593,0,593,1,593,4,593,0,593,1,593,1,593,2,593,2,593,4,593,1,593,1,597,1,602,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,597,0,597,1,597,4,597,0,597,1,597,1,597,2,597,2,597,4,597,2,597,1,602,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,602,1,602,1,602,3,602,0,602,1,602,1,602,2,602,2,602,4,602,2,602,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
