Time,Manual_Count,Time,Intel Corporate,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Microsoft Corporation,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"NETGEAR INC.,",Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Belkin International Inc.,Time,Netgear Inc.,Time,"Murata Manufactuaring Co.,Ltd.",Time,Hewlett Packard,Time,"Micro-Star Int'l Co, Ltd",Time,"Huawei Technologies Co., Ltd",Time,HTC Corporation,Time,"Apple, Inc",Time,SEIKO EPSON CORPORATION,Time,IBM Corp,Time,IBM,Time,Ubiquiti Networks,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"Samsung Electronics Co.,Ltd",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"ELITEGROUP COMPUTER SYSTEM CO., LTD.",Time,Liteon Technology Corporation,Time,"Samsung Electro Mechanics co., LTD.",Time,ASUSTek COMPUTER INC.,Time,"Samsung Electronics Co., LTD",Time,Apple Inc,Time,"Apple, Inc.",Time,WISOL
452,6,75,2,75,1,75,1,75,0,75,1,75,1,75,3,75,2,75,4,75,2,75,1,79,1,84,1,109,0,135,1,135,2,148,1,160,0,174,0,191,1,199,0,199,0,225,0,230,0,238,0,247,0,327,0,349,0,445,0,480,0,511,0,554,0,563,0,,
475,6,79,2,79,1,79,1,79,0,79,1,79,1,79,3,79,2,79,2,79,2,79,1,84,1,88,1,114,0,139,1,139,2,152,1,165,0,178,0,195,1,204,0,204,0,230,0,234,0,243,0,252,0,332,0,353,0,449,0,485,0,515,0,559,0,567,0,,
511,6,84,1,84,1,84,1,84,0,84,1,84,1,84,3,84,2,84,2,84,2,84,1,88,1,92,1,117,0,144,1,144,2,156,1,169,0,182,0,199,1,208,0,208,0,234,0,238,0,247,0,256,0,336,0,358,0,454,0,489,0,519,0,563,0,571,0,,
547,6,88,1,88,1,88,1,88,0,88,1,88,1,88,3,88,2,88,3,88,1,88,1,92,1,96,1,122,0,148,1,148,2,160,1,174,0,186,0,204,1,212,0,212,0,238,0,243,0,252,0,261,0,340,0,362,0,458,0,493,0,524,0,567,0,576,0,,
556,6,92,2,92,0,92,2,92,0,92,1,92,1,92,3,92,2,92,3,92,2,92,1,96,1,100,1,127,0,152,0,152,1,165,1,178,0,191,0,208,1,217,0,217,0,243,0,247,0,256,0,270,0,345,0,366,0,462,0,497,0,528,0,571,0,580,0,,
577,6,96,1,96,0,96,2,96,0,96,1,96,1,96,3,96,2,96,3,96,2,96,1,100,1,105,1,131,0,156,0,156,0,169,1,182,0,195,0,212,0,221,0,221,0,247,0,252,0,261,0,275,0,349,0,370,0,467,0,502,0,532,0,576,0,585,0,,
584,6,100,1,100,1,100,2,100,0,100,1,100,1,100,3,100,2,100,3,100,2,100,1,105,1,109,1,135,0,160,0,160,0,174,1,186,0,199,0,217,0,225,0,225,0,252,0,256,0,270,0,279,0,353,0,375,0,471,0,506,0,537,0,580,0,589,0,,
602,6,105,1,105,1,105,2,105,0,105,1,105,1,105,3,105,2,105,3,105,2,105,1,109,1,114,1,139,0,165,0,165,0,178,1,191,0,204,0,221,0,230,0,230,0,256,0,261,0,275,0,284,0,358,0,379,0,475,0,511,0,541,0,585,0,593,0,,
,,109,1,109,1,109,3,109,0,109,1,109,1,109,3,109,2,109,3,109,2,109,1,114,1,117,0,144,0,169,0,169,0,182,1,195,0,208,0,225,0,234,0,234,0,261,0,270,0,279,0,288,0,362,0,384,0,480,0,515,0,546,0,589,0,597,0,,
,,114,1,114,1,114,3,114,0,114,1,114,1,114,3,114,2,114,3,114,2,114,1,117,1,122,0,148,0,174,0,174,0,186,1,199,0,212,0,230,0,238,0,238,0,270,0,275,0,284,0,292,0,366,0,388,0,485,0,519,0,550,0,593,0,602,0,,
,,117,0,117,1,117,4,117,0,117,1,117,1,117,2,117,2,117,3,117,1,117,1,122,1,127,0,152,0,178,0,178,0,191,1,204,0,217,0,234,0,243,0,243,0,275,0,279,0,288,0,297,0,370,0,393,0,489,0,524,0,554,0,597,0,,,,
,,122,0,122,1,122,4,122,0,122,1,122,1,122,2,122,2,122,5,122,1,122,1,127,1,131,1,156,0,182,0,182,0,195,1,208,0,221,0,238,0,247,0,247,0,279,0,284,0,292,0,301,0,375,0,397,0,493,0,528,0,559,0,602,0,,,,
,,127,0,127,1,127,4,127,0,127,1,127,1,127,3,127,2,127,5,127,1,127,1,131,1,135,1,160,0,186,0,186,0,199,1,212,0,225,1,243,1,252,0,252,0,284,0,288,0,297,0,306,0,379,0,402,0,497,0,532,0,563,0,,,,,,
,,131,1,131,1,131,4,131,0,131,1,131,1,131,3,131,2,131,5,131,1,131,1,135,1,139,1,165,0,191,0,191,0,204,1,217,0,230,1,247,1,256,0,256,1,288,0,292,0,301,0,310,0,384,0,406,0,502,0,537,0,567,0,,,,,,
,,135,1,135,1,135,4,135,0,135,1,135,1,135,3,135,2,135,5,135,1,135,1,139,1,144,1,169,0,195,0,195,0,208,0,221,0,234,1,252,1,261,0,261,1,292,0,297,0,306,0,314,0,388,0,410,0,506,0,541,0,571,0,,,,,,
,,139,1,139,1,139,3,139,0,139,1,139,1,139,3,139,2,139,5,139,2,139,1,144,1,148,1,174,0,199,0,199,0,212,0,225,0,238,1,256,1,270,0,270,1,297,0,301,0,310,0,318,0,393,0,414,0,511,0,546,0,576,0,,,,,,
,,144,1,144,1,144,2,144,0,144,1,144,1,144,3,144,2,144,6,144,2,144,1,148,1,152,1,178,0,204,0,204,0,217,0,230,0,243,1,261,1,275,0,275,1,301,0,306,0,314,0,323,0,397,0,419,0,515,0,550,0,580,0,,,,,,
,,148,1,148,1,148,2,148,0,148,1,148,1,148,3,148,2,148,3,148,2,148,1,152,1,156,1,182,0,208,0,208,0,221,0,234,0,247,1,270,0,279,0,279,1,306,0,310,0,318,0,327,0,402,0,423,0,519,0,554,0,585,0,,,,,,
,,152,1,152,0,152,2,152,0,152,1,152,1,152,3,152,2,152,3,152,2,152,1,156,1,160,1,186,0,212,0,212,0,225,1,238,0,252,1,275,0,284,0,284,0,310,0,314,0,323,0,332,0,406,0,427,0,524,0,559,0,589,0,,,,,,
