Time,Manual_Count,Time,Netgear Inc.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,DrayTek Corp.,Time,NETCOMM LIMITED,Time,Intel Corporate,Time,Dell Inc,Time,Netgear Inc,Time,"Apple, Inc.",Time,"Apple, Inc",Time,Hewlett-Packard Company,Time,D-Link International,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett Packard,Time,IBM Corp,Time,Ubiquiti Networks,Time,ASUSTek COMPUTER INC.,Time,Liteon Tech Corp.,Time,"NETGEAR INC.,",Time,SEIKO EPSON CORPORATION,Time,Microsoft,Time,"SAMSUNG ELECTRO MECHANICS CO., LTD.",Time,Liteon Technology Corporation,Time,"Samsung Electronics Co.,Ltd",Time,ASRock Incorporation,Time,Routerboard.com,Time,Apple Inc,Time,"Samsung Electro Mechanics co., LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Sony Mobile Communications AB
69,13,69,1,69,2,69,1,69,1,69,1,69,1,69,6,69,2,69,1,74,0,74,1,78,1,78,1,78,1,82,0,82,0,86,1,91,1,108,1,108,2,116,0,124,1,124,1,142,1,149,1,154,0,154,0,154,0,247,1,264,0,286,0,293,1,307,0,319,0,348,0,365,0
74,15,74,1,74,2,74,1,74,1,74,1,74,1,74,6,74,2,74,1,78,1,78,1,82,1,82,0,82,1,86,0,86,0,91,1,95,1,111,1,111,2,120,0,129,1,129,1,146,1,154,1,159,0,159,0,159,0,251,1,268,0,290,0,298,1,310,0,323,0,352,0,370,0
78,15,78,1,78,1,78,1,78,1,78,1,78,1,78,5,78,2,78,1,82,1,82,1,86,1,86,0,86,1,91,0,91,0,95,1,99,0,116,1,116,2,124,0,133,1,133,1,149,1,159,1,163,0,163,0,163,0,256,1,272,0,293,0,302,1,315,0,327,0,357,1,374,0
82,15,82,1,82,1,82,1,82,1,82,2,82,1,82,6,82,2,82,1,86,1,86,1,91,1,91,0,91,1,95,0,95,0,99,1,104,0,120,1,120,2,129,0,137,1,137,1,154,1,163,1,167,0,167,0,167,0,260,1,277,0,298,0,307,1,319,0,331,0,361,1,378,0
86,15,86,1,86,1,86,1,86,1,86,2,86,1,86,6,86,2,86,1,91,1,91,1,95,1,95,0,95,1,99,0,99,0,104,1,108,0,124,1,124,1,133,0,142,1,142,1,159,1,167,1,171,0,171,0,171,0,264,1,281,0,302,0,310,1,323,0,336,0,365,1,383,0
91,15,91,1,91,0,91,1,91,1,91,2,91,1,91,5,91,2,91,1,95,1,95,1,99,0,99,0,99,0,104,0,104,1,108,1,111,0,129,1,129,1,137,1,146,1,146,1,163,1,171,1,175,0,175,0,175,0,268,0,286,0,307,0,315,1,327,0,340,0,370,1,386,0
95,15,95,1,95,1,95,1,95,1,95,2,95,1,95,5,95,2,95,1,99,1,99,1,104,1,104,0,104,1,108,1,108,1,111,0,116,0,133,0,133,1,142,1,149,1,149,1,167,0,175,1,179,0,179,0,179,0,272,0,290,0,310,0,319,1,331,0,344,0,374,1,391,0
99,15,99,1,99,1,99,1,99,1,99,2,99,1,99,5,99,2,99,1,104,1,104,1,108,2,108,0,108,1,111,1,111,1,116,0,120,0,137,0,137,1,146,1,154,0,154,1,171,0,179,1,183,0,183,0,183,0,277,0,293,0,315,0,323,1,336,0,348,0,378,1,394,0
104,15,104,1,104,2,104,1,104,1,104,2,104,1,104,5,104,2,104,1,108,1,108,1,111,2,111,0,111,1,116,1,116,1,120,0,124,0,142,0,142,1,149,1,159,1,159,1,175,0,183,1,188,0,188,0,188,0,281,0,298,0,319,0,327,1,340,0,352,0,383,1,399,0
108,15,108,1,108,3,108,2,108,1,108,2,108,1,108,5,108,2,108,1,111,1,111,1,116,2,116,0,116,1,120,1,120,1,124,0,129,1,146,0,146,0,154,1,163,1,163,1,179,0,188,1,192,0,192,0,192,0,286,0,302,0,323,0,331,1,344,0,357,0,386,1,403,0
111,15,111,1,111,4,111,2,111,1,111,1,111,1,111,5,111,2,111,1,116,1,116,1,120,2,120,0,120,1,124,1,124,1,129,0,133,1,149,0,149,0,159,1,167,1,167,0,183,0,192,1,196,0,196,0,196,0,290,0,307,0,327,0,336,1,348,0,361,0,391,0,408,0
116,15,116,1,116,4,116,3,116,1,116,1,116,1,116,5,116,2,116,1,120,1,120,1,124,2,124,0,124,1,129,1,129,1,133,0,137,1,154,0,154,0,163,1,171,1,171,0,188,0,196,1,200,0,200,0,200,0,293,0,310,0,331,0,340,1,352,0,365,0,394,0,,
120,15,120,1,120,4,120,3,120,1,120,1,120,1,120,5,120,2,120,1,124,1,124,1,129,2,129,1,129,1,133,1,133,0,137,1,142,1,159,0,159,0,167,1,175,1,175,1,192,0,200,1,205,0,205,0,205,0,298,1,315,0,336,0,344,1,357,0,370,0,399,0,,
124,15,124,1,124,4,124,3,124,1,124,1,124,1,124,5,124,2,124,1,129,0,129,1,133,2,133,1,133,0,137,1,137,0,142,1,146,1,163,0,163,0,171,1,179,1,179,1,196,0,205,1,208,0,208,0,208,0,302,1,319,0,340,0,348,1,361,0,374,1,403,0,,
129,15,129,1,129,3,129,3,129,1,129,1,129,1,129,3,129,2,129,1,133,0,133,1,137,2,137,1,137,0,142,1,142,0,146,1,149,1,167,1,167,1,175,1,183,1,183,1,200,0,208,1,213,0,213,0,213,0,307,1,323,0,344,0,352,1,365,0,378,1,408,0,,
133,15,133,1,133,3,133,3,133,1,133,1,133,1,133,3,133,2,133,1,137,0,137,1,142,2,142,1,142,0,146,0,146,0,149,1,154,1,171,1,171,1,179,1,188,1,188,1,205,0,213,1,217,0,217,0,217,0,310,1,327,0,348,1,357,1,370,0,383,1,,,,
137,15,137,1,137,3,137,3,137,1,137,1,137,1,137,3,137,2,137,1,142,0,142,1,146,2,146,1,146,0,149,0,149,0,154,1,159,1,175,1,175,1,183,1,192,1,192,1,208,0,217,1,222,0,222,0,222,0,315,1,331,0,352,1,361,1,374,0,386,1,,,,
142,15,142,1,142,3,142,3,142,1,142,1,142,1,142,3,142,2,142,1,146,0,146,1,149,2,149,1,149,0,154,0,154,0,159,1,163,0,179,1,179,1,188,1,196,1,196,2,213,0,222,1,226,0,226,0,226,0,319,1,336,0,357,1,365,1,378,0,391,1,,,,
146,15,146,1,146,0,146,2,146,1,146,2,146,1,146,5,146,2,146,1,149,0,149,1,154,2,154,1,154,0,159,0,159,0,163,1,167,0,183,1,183,1,192,1,200,1,200,2,217,0,226,1,230,0,230,0,230,0,323,1,340,0,361,1,370,2,383,0,394,1,,,,
