Time,Manual_Count,Time,Netgear Inc.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,DrayTek Corp.,Time,NETCOMM LIMITED,Time,Intel Corporate,Time,Dell Inc,Time,Netgear Inc,Time,"Apple, Inc.",Time,"Apple, Inc",Time,Hewlett-Packard Company,Time,D-Link International,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett Packard,Time,IBM Corp,Time,Ubiquiti Networks,Time,ASUSTek COMPUTER INC.,Time,Liteon Tech Corp.,Time,"NETGEAR INC.,",Time,SEIKO EPSON CORPORATION,Time,Microsoft,Time,"SAMSUNG ELECTRO MECHANICS CO., LTD.",Time,Liteon Technology Corporation,Time,"Samsung Electronics Co.,Ltd",Time,ASRock Incorporation,Time,Routerboard.com,Time,Apple Inc,Time,"Samsung Electro Mechanics co., LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Sony Mobile Communications AB
281,17,281,1,281,2,281,2,281,1,281,2,281,1,281,8,281,2,281,1,286,0,286,1,290,2,290,0,290,1,293,0,293,0,298,2,302,1,319,0,319,0,327,1,336,1,336,0,352,0,361,1,365,0,365,0,365,1,,,,,,,,,,,,,,,,
286,17,286,1,286,2,286,2,286,1,286,2,286,1,286,9,286,2,286,1,290,0,290,1,293,2,293,0,293,1,298,0,298,0,302,1,307,1,323,0,323,0,331,1,340,1,340,0,357,0,365,1,370,0,370,0,370,1,,,,,,,,,,,,,,,,
290,17,290,1,290,2,290,2,290,1,290,2,290,1,290,11,290,2,290,2,293,0,293,1,298,2,298,0,298,1,302,0,302,0,307,1,310,1,327,0,327,0,336,1,344,1,344,0,361,0,370,1,374,0,374,0,374,1,,,,,,,,,,,,,,,,
293,15,293,1,293,2,293,2,293,1,293,2,293,1,293,9,293,2,293,2,298,0,298,1,302,2,302,0,302,1,307,0,307,0,310,1,315,1,331,0,331,0,340,1,348,1,348,0,365,0,374,1,378,0,378,0,378,1,,,,,,,,,,,,,,,,
298,15,298,1,298,2,298,2,298,1,298,2,298,1,298,7,298,2,298,2,302,0,302,1,307,2,307,0,307,1,310,0,310,0,315,1,319,1,336,0,336,1,344,1,352,1,352,0,370,0,378,1,383,0,383,0,383,1,,,,,,,,,,,,,,,,
302,15,302,1,302,2,302,2,302,1,302,2,302,1,302,8,302,2,302,2,307,0,307,1,310,3,310,0,310,1,315,0,315,0,319,1,323,0,340,0,340,1,348,1,357,1,357,0,374,0,383,1,386,0,386,0,386,1,,,,,,,,,,,,,,,,
307,15,307,1,307,2,307,2,307,1,307,2,307,1,307,10,307,3,307,2,310,0,310,1,315,3,315,0,315,1,319,0,319,0,323,1,327,0,344,1,344,2,352,1,361,1,361,0,378,0,386,1,391,1,391,0,391,1,,,,,,,,,,,,,,,,
310,15,310,1,310,3,310,3,310,1,310,2,310,1,310,10,310,3,310,2,315,0,315,1,319,3,319,0,319,1,323,0,323,1,327,1,331,0,348,1,348,2,357,1,365,1,365,0,383,0,391,1,394,1,394,0,394,0,,,,,,,,,,,,,,,,
315,15,315,1,315,3,315,2,315,1,315,2,315,1,315,9,315,3,315,2,319,0,319,1,323,3,323,0,323,1,327,0,327,1,331,1,336,1,352,2,352,4,361,1,370,1,370,0,386,0,394,1,399,1,399,0,399,0,,,,,,,,,,,,,,,,
319,15,319,1,319,3,319,2,319,1,319,2,319,1,319,9,319,3,319,2,323,0,323,1,327,2,327,0,327,1,331,0,331,1,336,0,340,1,357,2,357,4,365,0,374,1,374,0,391,0,399,1,403,1,403,0,403,0,,,,,,,,,,,,,,,,
323,15,323,1,323,3,323,2,323,1,323,2,323,1,323,9,323,3,323,1,327,0,327,1,331,2,331,0,331,1,336,0,336,1,340,0,344,1,361,2,361,4,370,0,378,1,378,0,394,0,403,1,408,1,408,0,408,0,,,,,,,,,,,,,,,,
327,15,327,1,327,3,327,2,327,1,327,2,327,1,327,8,327,3,327,1,331,0,331,1,336,2,336,0,336,1,340,0,340,1,344,0,348,1,365,2,365,5,374,0,383,1,383,0,399,0,408,1,,,,,,,,,,,,,,,,,,,,,,
331,15,331,1,331,4,331,2,331,1,331,2,331,1,331,10,331,3,331,2,336,0,336,1,340,2,340,0,340,1,344,0,344,1,348,0,352,1,370,2,370,5,378,1,386,1,386,0,403,0,,,,,,,,,,,,,,,,,,,,,,,,
336,15,336,1,336,3,336,2,336,1,336,2,336,1,336,8,336,2,336,2,340,0,340,1,344,1,344,0,344,1,348,1,348,1,352,1,357,1,374,1,374,4,383,1,391,1,391,0,408,0,,,,,,,,,,,,,,,,,,,,,,,,
340,15,340,1,340,3,340,2,340,1,340,2,340,1,340,8,340,2,340,2,344,0,344,1,348,2,348,0,348,1,352,1,352,1,357,1,361,1,378,1,378,4,386,1,394,1,394,1,,,,,,,,,,,,,,,,,,,,,,,,,,
344,15,344,1,344,2,344,1,344,1,344,2,344,1,344,7,344,2,344,2,348,0,348,1,352,2,352,0,352,1,357,1,357,0,361,2,365,1,383,1,383,4,391,1,399,1,399,1,,,,,,,,,,,,,,,,,,,,,,,,,,
348,16,348,1,348,2,348,2,348,1,348,1,348,1,348,8,348,2,348,2,352,0,352,1,357,2,357,0,357,1,361,1,361,0,365,2,370,1,386,0,386,1,394,1,403,1,403,1,,,,,,,,,,,,,,,,,,,,,,,,,,
352,16,352,1,352,3,352,2,352,1,352,1,352,1,352,9,352,2,352,2,357,0,357,1,361,2,361,0,361,1,365,1,365,0,370,2,374,1,391,0,391,1,399,1,408,1,408,1,,,,,,,,,,,,,,,,,,,,,,,,,,
357,16,357,1,357,3,357,2,357,1,357,1,357,1,357,11,357,2,357,2,361,0,361,1,365,1,365,0,365,1,370,1,370,0,374,3,378,1,394,1,394,3,403,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,16,361,1,361,3,361,2,361,1,361,1,361,1,361,11,361,2,361,2,365,0,365,1,370,1,370,0,370,1,374,1,374,0,378,3,383,1,399,1,399,5,408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,15,365,1,365,3,365,2,365,1,365,1,365,1,365,9,365,2,365,1,370,0,370,1,374,1,374,0,374,1,378,0,378,0,383,3,386,1,403,1,403,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,15,370,1,370,2,370,2,370,1,370,1,370,1,370,9,370,2,370,1,374,0,374,1,378,1,378,0,378,1,383,0,383,0,386,2,391,1,408,1,408,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,15,374,1,374,2,374,2,374,1,374,1,374,1,374,9,374,2,374,1,378,0,378,1,383,1,383,0,383,1,386,0,386,0,391,2,394,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,15,378,1,378,2,378,1,378,1,378,1,378,1,378,8,378,2,378,1,383,0,383,1,386,1,386,0,386,1,391,0,391,0,394,3,399,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,15,383,1,383,2,383,2,383,1,383,1,383,1,383,9,383,2,383,1,386,0,386,1,391,1,391,0,391,1,394,0,394,0,399,3,403,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,15,386,1,386,1,386,2,386,1,386,1,386,1,386,10,386,2,386,1,391,0,391,1,394,2,394,0,394,1,399,0,399,0,403,3,408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,15,391,1,391,1,391,2,391,1,391,1,391,1,391,9,391,2,391,1,394,0,394,1,399,2,399,0,399,1,403,0,403,0,408,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,15,394,1,394,1,394,3,394,1,394,1,394,1,394,9,394,2,394,1,399,0,399,1,403,2,403,0,403,1,408,1,408,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,15,399,1,399,2,399,4,399,1,399,1,399,1,399,8,399,2,399,1,403,0,403,1,408,2,408,0,408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,15,403,1,403,4,403,4,403,1,403,1,403,1,403,8,403,2,403,1,408,0,408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,15,408,1,408,4,408,5,408,1,408,2,408,1,408,8,408,2,408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
