Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,Ubiquiti Networks,Time,UNKNOWN,Time,Apple,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,NETGEAR,Time,DrayTek Corp.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,D-Link International,Time,Netgear Inc,Time,"NETGEAR INC.,",Time,ASRock Incorporation,Time,Routerboard.com,Time,ASUSTek COMPUTER INC.,Time,ASUSTek COMPUTER INC.,Time,"Apple, Inc",Time,ASUSTek COMPUTER INC.,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett-Packard Company,Time,IBM Corp,Time,Netgear Inc.,Time,Apple Inc,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,PEGATRON CORPORATION,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Dell Inc,Time,Hewlett Packard,Time,Liteon Technology Corporation,Time,Liteon Tech Corp.,Time,Lexmark International Inc.,Time,"Samsung Electro Mechanics co., LTD.",Time,HTC Corporation,Time,Sony Mobile Communications AB,Time,"Apple, Inc.",Time,"SAMSUNG ELECTRO MECHANICS CO.,LTD.",Time,"AzureWave Technologies, Inc.",Time,Microsoft,Time,Belkin International Inc.
58,9,58,1,58,1,58,3,58,3,58,3,58,1,58,2,58,1,62,1,62,1,66,1,66,2,70,1,74,1,74,1,83,1,91,1,95,1,99,1,99,1,104,1,104,0,108,0,108,1,112,0,121,1,125,0,133,0,138,0,155,0,155,2,180,0,193,0,201,0,218,0,247,0,272,0,281,0,285,0,323,0,,,,
62,9,62,1,62,1,62,3,62,3,62,3,62,1,62,2,62,1,66,1,66,1,70,1,70,3,74,1,79,1,79,1,87,1,95,1,99,1,104,1,104,0,108,1,108,0,112,0,112,1,117,0,125,1,130,0,138,0,142,0,159,0,159,2,184,0,196,0,205,0,222,0,251,0,277,0,285,0,290,0,327,0,,,,
66,9,66,1,66,1,66,3,66,3,66,3,66,1,66,2,66,1,70,1,70,1,74,1,74,3,79,1,83,1,83,1,91,1,99,1,104,1,108,1,108,0,112,1,112,0,117,1,117,1,121,0,130,1,133,0,142,0,146,0,163,0,163,2,188,0,201,0,210,0,226,0,256,0,281,0,290,0,293,0,332,0,,,,
70,9,70,1,70,1,70,4,70,3,70,3,70,1,70,2,70,1,74,1,74,1,79,0,79,3,83,1,87,1,87,1,95,1,104,1,108,1,112,1,112,0,117,1,117,1,121,1,121,1,125,0,133,0,138,0,146,0,150,0,167,0,167,3,193,0,205,0,213,0,230,0,260,0,285,0,293,0,297,0,336,0,,,,
74,9,74,1,74,1,74,4,74,3,74,2,74,1,74,2,74,1,79,1,79,1,83,0,83,4,87,1,91,1,91,1,99,0,108,0,112,1,117,1,117,0,121,1,121,1,125,1,125,1,130,0,138,0,142,1,150,0,155,0,172,0,172,3,196,0,210,0,218,0,235,0,264,0,290,0,297,0,302,0,,,,,,
79,9,79,1,79,1,79,3,79,3,79,2,79,1,79,2,79,1,83,1,83,1,87,0,87,4,91,1,95,1,95,1,104,0,112,0,117,1,121,1,121,0,125,1,125,1,130,1,130,1,133,0,142,0,146,1,155,0,159,0,176,0,176,3,201,0,213,0,222,0,239,0,268,0,293,0,302,0,306,0,,,,,,
83,9,83,1,83,1,83,3,83,3,83,2,83,1,83,2,83,1,87,1,87,1,91,0,91,4,95,1,99,1,99,1,108,0,117,0,121,1,125,1,125,0,130,1,130,1,133,2,133,1,138,0,146,0,150,1,159,0,163,0,180,0,180,4,205,0,218,0,226,0,243,0,272,0,297,0,306,0,310,0,,,,,,
87,9,87,1,87,1,87,2,87,2,87,2,87,1,87,2,87,1,91,1,91,1,95,0,95,4,99,1,104,1,104,1,112,0,121,0,125,1,130,1,130,0,133,1,133,1,138,2,138,1,142,0,150,0,155,1,163,0,167,0,184,0,184,4,210,0,222,0,230,0,247,0,277,0,302,0,310,0,315,0,,,,,,
91,9,91,1,91,1,91,4,91,2,91,3,91,1,91,2,91,1,95,1,95,1,99,1,99,4,104,1,108,1,108,1,117,0,125,0,130,1,133,1,133,0,138,2,138,1,142,2,142,1,146,0,155,0,159,1,167,0,172,0,188,0,188,4,213,0,226,0,235,0,251,0,281,0,306,0,315,0,319,0,,,,,,
95,9,95,1,95,1,95,5,95,2,95,3,95,1,95,2,95,1,99,1,99,0,104,1,104,5,108,1,112,1,112,1,121,0,130,1,133,1,138,2,138,0,142,2,142,1,146,2,146,1,150,0,159,0,163,1,172,0,176,0,193,0,193,4,218,0,230,0,239,0,256,0,285,0,310,0,319,0,323,0,,,,,,
