Time,Manual_Count,Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,"NETGEAR INC.,",Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,Routerboard.com,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,IBM Corp,Time,"Samsung Electro Mechanics co.,LTD.",Time,LG Electronics,Time,SEIKO EPSON CORPORATION,Time,"Apple, Inc",Time,Liteon Technology Corporation,Time,"Micro-Star Int'l Co, Ltd",Time,Hon Hai Precision Ind.Co.Ltd,Time,Intel Corporate,Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,"Huawei Technologies Co., Ltd",Time,Ubiquiti Networks,Time,"Apple, Inc.",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Microsoft Corporation
,,99,1,99,1,99,2,99,1,99,2,99,3,99,1,99,1,103,1,103,0,103,2,107,1,107,0,129,0,134,0,134,1,159,0,172,0,190,0,194,0,208,1,268,2,272,0,276,0,281,0,354,0,,,,
,,103,1,103,1,103,2,103,1,103,2,103,3,103,1,103,1,107,1,107,0,107,2,112,1,112,0,134,0,138,0,138,0,163,0,177,0,194,0,198,1,212,1,272,2,276,0,281,0,285,0,,,,,,
,,107,1,107,1,107,2,107,1,107,2,107,4,107,1,107,1,112,1,112,0,112,2,116,1,116,0,138,0,142,0,142,0,168,0,181,0,198,0,203,1,216,1,276,2,281,0,285,0,290,0,,,,,,
,,112,2,112,1,112,2,112,1,112,2,112,4,112,1,112,1,116,1,116,0,116,2,121,1,121,0,142,0,146,0,146,0,172,0,185,0,203,0,208,1,220,1,281,2,285,0,290,0,294,0,,,,,,
,,116,2,116,1,116,2,116,1,116,2,116,4,116,1,116,1,121,1,121,0,121,1,125,1,125,0,146,0,151,0,151,0,177,0,190,0,208,0,212,1,224,1,285,2,290,0,294,0,298,0,,,,,,
,,121,2,121,2,121,2,121,1,121,2,121,3,121,1,121,1,125,1,125,0,125,1,129,0,129,0,151,0,155,0,155,0,181,0,194,0,212,0,216,1,229,1,290,2,294,0,298,0,303,0,,,,,,
,,125,2,125,2,125,2,125,1,125,2,125,3,125,1,125,1,129,1,129,0,129,1,134,0,134,0,155,0,159,1,159,1,185,0,198,0,216,0,220,1,233,1,294,2,298,0,303,0,307,0,,,,,,
,,129,2,129,2,129,2,129,1,129,2,129,5,129,1,129,1,134,1,134,0,134,1,138,0,138,0,159,0,163,1,163,1,190,0,203,0,220,0,224,1,237,1,298,2,303,1,307,0,311,0,,,,,,
,,134,2,134,2,134,2,134,1,134,2,134,5,134,1,134,1,138,1,138,0,138,1,142,0,142,0,163,0,168,1,168,1,194,0,208,0,224,0,229,1,242,1,303,2,307,1,311,0,316,0,,,,,,
,,138,2,138,2,138,2,138,1,138,2,138,5,138,1,138,1,142,1,142,0,142,1,146,0,146,0,168,0,172,1,172,1,198,0,212,0,229,0,233,1,247,0,307,2,311,1,316,0,320,0,,,,,,
,,142,2,142,2,142,2,142,1,142,2,142,5,142,1,142,1,146,1,146,0,146,1,151,0,151,0,172,0,177,1,177,1,203,0,216,0,233,0,237,1,251,1,311,2,316,1,320,0,325,0,,,,,,
,,146,2,146,1,146,2,146,1,146,2,146,5,146,1,146,1,151,1,151,0,151,1,155,0,155,0,177,0,181,1,181,1,208,0,220,0,237,0,242,1,255,1,316,2,320,1,325,0,329,0,,,,,,
,,151,2,151,1,151,2,151,1,151,2,151,5,151,1,151,1,155,1,155,0,155,1,159,0,159,0,181,0,185,0,185,0,212,0,224,0,242,0,247,1,259,1,320,2,325,1,329,0,333,0,,,,,,
,,155,2,155,1,155,2,155,1,155,2,155,5,155,1,155,1,159,1,159,0,159,1,163,0,163,0,185,0,190,0,190,0,216,0,229,0,247,0,251,1,263,1,325,2,329,0,333,0,337,0,,,,,,
,,159,2,159,1,159,2,159,1,159,2,159,4,159,1,159,1,163,1,163,0,163,1,168,0,168,0,190,0,194,0,194,0,220,0,233,0,251,0,255,0,268,1,329,2,333,0,337,0,341,0,,,,,,
,,163,2,163,1,163,2,163,1,163,2,163,4,163,1,163,1,168,1,168,0,168,1,172,0,172,0,194,0,198,0,198,0,224,0,237,0,255,0,259,0,272,1,333,2,337,0,341,0,346,0,,,,,,
,,168,2,168,1,168,2,168,1,168,2,168,4,168,1,168,1,172,1,172,0,172,1,177,0,177,0,198,0,203,0,203,0,229,0,242,0,259,0,263,0,276,1,337,2,341,0,346,0,350,0,,,,,,
,,172,3,172,1,172,2,172,1,172,2,172,4,172,1,172,1,177,1,177,0,177,1,181,0,181,0,203,0,208,0,208,0,233,0,247,0,263,0,268,0,281,0,341,2,346,0,350,0,354,0,,,,,,
,,177,3,177,1,177,2,177,1,177,2,177,4,177,1,177,1,181,1,181,0,181,1,185,0,185,0,208,0,212,0,212,0,237,0,251,0,268,0,272,0,285,1,346,2,350,0,354,0,,,,,,,,
,,181,3,181,1,181,2,181,1,181,2,181,3,181,1,181,1,185,1,185,0,185,1,190,0,190,0,212,0,216,0,216,0,242,0,255,0,272,0,276,0,290,1,350,2,354,0,,,,,,,,,,
,,185,2,185,1,185,2,185,1,185,2,185,2,185,1,185,1,190,1,190,0,190,1,194,1,194,0,216,0,220,1,220,0,247,0,259,0,276,0,281,0,294,1,354,2,,,,,,,,,,,,
