Time,Manual_Count,ICP Electronics Inc.,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Ubiquiti Networks,UNKNOWN,Apple,Billion Electric Co. Ltd.,NETGEAR,Belkin International Inc.,"CISCO SYSTEMS, INC.",Netgear Inc.,Intel Corporate,Netgear Inc,"TP-LINK TECHNOLOGIES CO.,LTD.",NETCOMM LIMITED,Hewlett-Packard Company,"Apple, Inc.",Liteon Technology Corporation,D-Link International,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Dell Inc,Hewlett Packard,"Apple, Inc",ASUSTek COMPUTER INC.,IBM Corp,"NETGEAR INC.,",DrayTek Corp.,Routerboard.com,Sony Mobile Communications AB,zte corporation,Microsoft Corporation,"Hon Hai Precision Ind. Co.,Ltd.",ASRock Incorporation,Apple Inc,HTC Corporation
179,17,0,1,1,3,2,0,0,0,2,0,0,1,1,0,1,0,0,0,3,0,5,1,0,0,0,0,,,,,,,,
183,17,0,1,1,3,2,0,0,0,2,0,0,1,1,0,1,0,0,0,2,0,2,1,0,0,0,,,,,,,,,
188,17,0,1,1,3,2,0,0,0,1,0,0,1,1,0,1,0,0,0,2,0,2,1,0,0,0,,,,,,,,,
193,17,0,1,1,3,2,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,2,1,0,0,,,,,,,,,,
198,17,0,0,1,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,,,,,,,,,,
203,17,0,0,1,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,,,,,,,,,,
209,17,0,0,1,2,2,0,0,0,2,0,1,0,1,0,0,0,0,0,2,1,2,0,0,0,,,,,,,,,,
215,17,0,1,1,3,3,0,0,0,2,0,1,0,1,0,1,0,0,0,2,1,1,0,0,1,,,,,,,,,,
221,17,0,2,1,3,2,0,0,0,2,0,1,0,1,0,1,0,0,0,2,1,1,0,1,1,,,,,,,,,,
226,17,0,2,1,3,3,0,0,0,2,0,2,0,1,0,1,0,0,0,1,1,0,0,1,1,,,,,,,,,,
232,17,0,2,1,3,3,0,0,0,2,0,2,0,1,0,1,0,0,0,1,1,0,0,2,,,,,,,,,,,
238,17,0,2,1,3,3,0,0,0,2,0,2,0,0,0,1,0,0,0,1,1,0,0,2,,,,,,,,,,,
244,17,0,2,1,4,3,0,0,0,2,0,2,0,1,0,1,0,0,0,1,1,0,0,,,,,,,,,,,,
251,17,0,2,1,4,3,0,0,0,2,0,2,1,1,0,1,0,0,0,1,1,0,0,,,,,,,,,,,,
257,17,0,2,1,4,3,0,0,0,2,0,2,1,1,0,1,0,0,0,1,1,1,0,,,,,,,,,,,,
264,17,0,2,1,4,4,0,0,0,2,0,2,1,1,0,1,0,0,0,1,0,1,0,,,,,,,,,,,,
270,17,0,1,1,3,2,0,0,0,2,0,1,1,1,0,1,0,0,0,1,0,1,,,,,,,,,,,,,
276,15,0,1,1,3,2,0,0,0,2,0,1,1,0,0,1,0,0,0,1,,,,,,,,,,,,,,,
283,15,0,0,1,3,3,0,0,0,2,0,2,1,1,0,0,0,0,0,1,,,,,,,,,,,,,,,
290,15,0,0,0,3,2,0,0,0,2,0,2,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
296,15,0,1,1,3,2,0,0,0,2,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
303,15,0,1,1,3,2,0,0,0,2,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,
310,11,0,1,1,2,3,0,0,0,2,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,
316,11,0,2,1,2,3,0,0,0,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,
323,11,0,2,1,2,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
330,11,0,2,1,2,4,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
