Time,Manual_Count,Netgear Inc.,UNKNOWN,Hewlett-Packard Company,Routerboard.com,"Hon Hai Precision Ind. Co.,Ltd.",Billion Electric Co. Ltd.,"CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.",NETCOMM LIMITED,Lexmark International Inc.,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Apple,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Belkin International Inc.,Intel Corporate,Netgear Inc,NETGEAR,Ubiquiti Networks,DrayTek Corp.,D-Link International,"Murata Manufactuaring Co.,Ltd.","NETGEAR INC.,",Dell Inc,ASUSTek COMPUTER INC.,Hewlett Packard,ASRock Incorporation,"Apple, Inc",Liteon Technology Corporation,Microsoft,"NEC Platforms, Ltd",Liteon Tech Corp.,Sony Mobile Communications AB,D-LINK INTERNATIONAL PTE LIMITED,IBM Corp,"Samsung Electro Mechanics co., LTD.",Apple Inc,ICP Electronics Inc.,SEIKO EPSON CORPORATION,"AzureWave Technologies, Inc."
138,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
142,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
146,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
150,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
155,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
159,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
163,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
168,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
172,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
176,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
