Time,Manual_Count,Time,Netgear Inc.,Time,UNKNOWN,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,Intel Corporate,Time,"Huawei Technologies Co., Ltd",Time,Belkin International Inc.,Time,ASUSTek COMPUTER INC.,Time,Liteon Technology Corporation,Time,DrayTek Corp.,Time,"Apple, Inc",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,SEIKO EPSON CORPORATION,Time,"Apple, Inc.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Apple Inc,Time,Liteon Tech Corp.,Time,"Samsung Electro Mechanics co., LTD.",Time,Motorola Mobility LLC,Time,Routerboard.com,Time,Ubiquiti Networks,Time,IBM Corp
358,10,100,1,100,2,100,1,100,1,100,2,100,2,100,2,100,2,100,1,105,1,113,0,130,1,135,1,152,0,156,0,161,0,183,1,187,0,244,0,244,0,308,0,316,0,377,0,408,0,412,0,494,0,516,0,525,0
378,9,105,1,105,2,105,1,105,1,105,2,105,2,105,2,105,2,105,1,109,1,117,0,135,1,139,1,156,0,161,0,165,0,187,1,191,0,248,0,248,0,312,0,321,0,381,0,412,0,416,0,498,0,520,0,529,0
393,8,109,1,109,2,109,1,109,1,109,2,109,2,109,2,109,1,109,1,113,1,122,1,139,1,143,1,161,0,165,0,170,0,191,1,196,0,252,0,252,0,316,0,326,0,386,0,416,0,421,0,502,0,525,0,533,0
416,9,113,1,113,2,113,1,113,1,113,2,113,2,113,2,113,1,113,1,117,1,126,1,143,1,148,1,165,1,170,0,174,0,196,1,200,0,256,0,256,0,321,0,330,0,391,0,421,0,425,0,507,0,529,0,537,0
458,9,117,1,117,2,117,1,117,1,117,2,117,2,117,2,117,1,117,1,122,1,130,1,148,1,152,1,170,1,174,0,178,0,200,0,204,1,261,0,261,0,326,0,334,0,395,0,425,0,429,0,511,0,533,0,542,0
469,10,122,1,122,2,122,1,122,1,122,2,122,1,122,2,122,1,122,1,126,1,135,1,152,1,156,1,174,1,178,0,183,0,204,0,209,1,265,0,265,0,330,1,338,0,399,0,429,0,434,0,516,0,537,0,546,0
504,9,126,0,126,3,126,1,126,1,126,2,126,1,126,2,126,1,126,1,130,1,139,1,156,1,161,1,178,1,183,0,187,0,209,0,213,1,269,0,269,0,334,1,343,0,403,0,434,0,438,0,520,0,542,0,551,0
514,8,130,0,130,2,130,1,130,1,130,2,130,1,130,2,130,1,130,1,135,1,143,1,161,1,165,1,183,1,187,0,191,0,213,0,218,1,274,0,274,1,338,1,347,0,408,0,438,0,442,0,525,0,546,0,555,0
560,9,135,0,135,2,135,1,135,1,135,2,135,2,135,2,135,1,135,1,139,1,148,1,165,1,170,1,187,2,191,0,196,0,218,1,222,1,278,0,278,1,343,1,352,0,412,0,442,0,446,0,529,0,551,0,559,0
599,8,139,0,139,2,139,1,139,1,139,2,139,2,139,2,139,1,139,1,143,1,152,1,170,1,174,1,191,1,196,0,200,0,222,2,226,1,277,0,277,1,347,1,356,0,416,0,446,0,451,0,533,0,555,0,564,0
,,143,0,143,2,143,1,143,1,143,2,143,2,143,2,143,1,143,1,148,1,156,2,174,1,178,1,196,1,200,0,204,0,226,2,231,1,281,0,281,1,352,1,360,0,421,0,451,0,455,0,537,0,559,0,568,0
,,148,0,148,2,148,1,148,1,148,2,148,2,148,2,148,1,148,1,152,1,161,2,178,0,183,1,200,1,204,0,209,0,231,2,235,1,286,0,286,1,356,1,364,0,425,0,455,0,459,0,542,0,564,0,573,0
,,152,0,152,2,152,1,152,1,152,1,152,2,152,2,152,1,152,1,156,1,165,2,183,0,187,1,204,2,209,0,213,0,235,2,240,0,290,0,290,1,360,0,369,0,429,0,459,0,463,0,546,0,568,0,577,0
,,156,0,156,2,156,1,156,1,156,2,156,3,156,2,156,1,156,1,161,1,170,2,187,0,191,1,209,2,213,0,218,0,240,2,244,0,295,0,295,1,364,0,373,0,434,0,463,0,468,0,551,0,573,0,581,0
,,161,1,161,2,161,1,161,1,161,2,161,3,161,2,161,1,161,1,165,1,174,2,191,0,196,1,213,2,218,0,222,0,244,1,248,0,299,0,299,0,369,0,377,0,438,0,468,0,473,0,555,0,577,0,585,0
,,165,1,165,2,165,1,165,1,165,2,165,3,165,2,165,1,165,1,170,1,178,2,196,1,200,1,218,2,222,0,226,1,248,0,252,0,303,0,303,0,373,0,381,0,442,0,473,0,476,0,559,0,581,0,590,0
